sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
nkaambo kakuti abrahamu wakaswiilila ijwi lyangu akubamba imbeta zyangu milazyo yangu indayo zyangu amulao wangu 	16	9369	Female	toi	221230-114451_toi_b9a_elicit_10.wav
uupilingene ulalya micelo yanzila zyakwe amuntu mubotu ulakuta kumilimo yakwe 	16	7713	Female	toi	221213-153842_toi_b9a_elicit_11.wav
umwi mukaintu waakwetwe mumaali wakacita kuti 	16	3516	Female	toi	221203-172224_toi_ee8_elicit_7.wav
musimbi uusamide delesi yamubala wamungunga waji uliimvwi mupaaka kajalide ameso 	16	9846	Female	toi	221205-153008_toi_b9a_elicit_7.wav
naanga bamwi tabasoli akoona pe 	16	3017	Female	toi	221203-160114_toi_ee8_elicit_14.wav
ono buya kalo kaambyo aka mbokapandulula nkuti 	16	3289	Male	toi	220829-123454_toi_0ae_elicit_49.wav
mudaala uusamide sikipa iisiya iilembedwe njisi nyimbo alimwi anzyeete yabasin gombe usobanya bbanjo 	16	8870	Female	toi	221213-103711_toi_b9a_elicit_24.wav
basimbi bobile abana bakwe bali ikumi aumwi wazubuka kucito ca jaboki 	16	10368	Male	toi	221011-153723_toi_308_elicit_25.wav
uso abanyoko basekelele lwakakuzyala akondwe mwanaangu undipe moyo wako meso aako alange inzila zyangu 	16	18036	Male	toi	220916-181440_toi_97d_elicit_3.wav
kwaamba masimpe kwiina nitwalibambide kuti catusinikizya kuti inga tusike kuno 	16	8349	Female	toi	221228-182130_toi_b9a_elicit_18.wav
swiilila uso iwakakuzyala alimwi utasampauli banyoko na bacembaala koula lusinizyo utaluulisyi pe 	16	15427	Male	toi	220916-181440_toi_97d_elicit_1.wav
haamwaandwe kumulyango waya aakakkede lwando pesi makarwa wakatobolo wakatondekede kuli lwando 	16	18104	Male	toi	220912-160501_toi_97d_elicit_29.wav
mbobaya kubona bajisi milwi yamali italibonyi mbobakaijana 	16	8462	Male	toi	220907-201714_toi_97d_elicit_31.wav
inkamu yabantu ilasobanya cibbanjo alimwi amabbanjo kumwi kabaimba muma maikulifooni 	16	7328	Female	toi	221212-095755_toi_b9a_elicit_15.wav
ibana bobilo bakatede balapumuna azyuno zyakale okuya kubonenwa zyintu zyakaindi kakuli ibapati babazingulukide balangilila bulembo bwabo 	16	13703	Female	toi	221207-150000_toi_b9a_elicit_23.wav
lwando nobabetesi nguwaaletelezya imfwu zyoonse ezi kutalikila kuli caalama 	16	9914	Male	toi	220912-174208_toi_97d_elicit_10.wav
wakalimvwa kuti nguzu ziya bumana wakalibona bbodela lyakajisi bukoko 	16	5762	Female	toi	221228-180049_toi_b9a_elicit_6.wav
mwaalumi uusamide ngowani yamungunga waji uutanta bwaanda bubambidwe amabwe nkouli kumbali 	16	8462	Female	toi	221212-093156_toi_b9a_elicit_5.wav
zyabantu alunyungu lwako luvube mulyango wabaabo balusulide 	16	5603	Female	toi	221230-115905_toi_b9a_elicit_3.wav
kumazuba akwalo cindi ncicona tanaakali kuiwiika milawo jaumulela oyu mubelesi 	16	10617	Female	toi	221228-184203_toi_b9a_elicit_1.wav
sa ulibwene muntu musongo mumeso aakwe mwini mufubafuba ulasyomeka kwiinda nguwe 	16	9755	Male	toi	220916-183449_toi_97d_elicit_48.wav
nee kondisiya biyo mung anda mebo wakavwilla haatimba kumwi kalangilila bakombwe 	16	7101	Female	toi	221228-093456_toi_b9a_elicit_43.wav
mwana musimbi a cisono cipentedwe cikambwe alimwi a mungungawaji mponya musyule tamulibonyi kabotu 	16	8938	Female	toi	221207-215437_toi_b9a_elicit_18.wav
batengwana abavubi balaswanaana jehova ngumulengi wabo boonse 	16	11048	Male	toi	220916-174104_toi_97d_elicit_12.wav
mbuli muntu uusamununa cikobela mubuzuba bwampeyo na mbuli ndulwe acilonda 	16	15586	Male	toi	220916-181440_toi_97d_elicit_31.wav
tindakazyi kuti uliisi basankwa bajisi busongo bunji bakonzya kulicengeezya kuti 	16	10413	Male	toi	220912-174208_toi_97d_elicit_38.wav
bamakaintu mpobazandwida boombe kumanyina beembezi haatimba kakkede acuuno cacipaya kuteelela twaano 	16	10890	Female	toi	221228-094635_toi_b9a_elicit_20.wav
ncobeni nikaba kalonga kalakonzya kumutola kakunyina uumubona pe 	16	3788	Male	toi	220825-172540_toi_0ae_elicit_28.wav
ootu twaano mubbaibbele twelede kupegwa anyika yonse kubana bali one point eight mabilyoni nakacikozyeka 	16	8961	Female	toi	221228-191455_toi_b9a_elicit_2.wav
lwando wakabona kuti awa taku ziluzi kumeso kokwa haamwaandwe kwaamutondezya 	16	11752	Male	toi	220912-160501_toi_97d_elicit_19.wav
ndasubuka sunu nakunga muntu andiitila cakulya nociliko kwangu nkulya inga koya kufwa 	16	6624	Male	toi	220825-174423_toi_0ae_elicit_47.wav
cimwi ciindi ulajana kuti kaya kakaintu nkaakakwata munsi 	16	4492	Male	toi	220829-113431_toi_0ae_elicit_6.wav
mulombwana uujisi sikipa iituba amukaintu uusamide delesi baleenda cakuselemuka mumugwagwa wabulongo antoomwe kabajatene maanza 	16	10572	Female	toi	221213-103711_toi_b9a_elicit_15.wav
lino farao wakaambila josefa kuti muciloto cangu ndakaliimvwi ankomwe yalwizi 	16	7033	Male	toi	221011-181531_toi_308_elicit_10.wav
lino labani kali abana basimbi bobile izina lyamupati kali leya izina lyamwanike kali rakele 	16	9052	Female	toi	221229-142606_toi_b9a_elicit_24.wav
ono bumwi buzuba nduwe ooya kuba mweendo 	16	2745	Male	toi	220829-210823_toi_0ae_elicit_20.wav
sa tozi majwi oonse aa leza alasyomeka nintobo kuliboonse bacijila kulinguwe 	16	12954	Male	toi	220916-171743_toi_97d_elicit_3.wav
bantu btatwe balinvwi a manela a tala akuzwida mung anda 	16	4741	Female	toi	221210-150640_toi_b9a_elicit_14.wav
walo uya mudaala wakatusiya naakasika kumunzi wakajana kuti 	16	3924	Male	toi	220825-174423_toi_0ae_elicit_31.wav
pesi balaa munzi bakabona kuti awalo iwakwe nyina wakalimvwide nyota 	16	4038	Male	toi	220825-172540_toi_0ae_elicit_13.wav
utavuwi mufubafuba mbuli bufubafuba bwakwe kuti uteelani awe ayebo vuwa mufubafuba mbuli bufubafuba bwakwe 	16	15132	Male	toi	220916-183449_toi_97d_elicit_42.wav
baswiilile majwi aakumvwisya batambule lulayo lwakucenjeia bululami ambeta aboololoki 	16	10118	Female	toi	221213-113324_toi_b9a_elicit_3.wav
ikabunga kabantu baimvwi mulongo kumbele asambalilwa zyintu mucintoolo 	16	6919	Female	toi	221205-210659_toi_b9a_elicit_8.wav
nkaambo kako farao alangaule muntu musongo uucenjede amubike kuti aendelezye nyika ya egepita 	16	11139	Male	toi	221011-181531_toi_308_elicit_28.wav
atweende tumujaye tumuwaale muli limwi lyamalindi lino tulaamba kuti cinyama cibi camujaya tulabona na ziloto zyakwe zilaba buti 	16	12863	Male	toi	221011-170850_toi_308_elicit_21.wav
lino wakaminta wazyala mwana mulombe wamuulika izina lya eri 	16	7759	Male	toi	221011-170850_toi_308_elicit_45.wav
mucenjele mutalubi kubuzya kuli bamwi bantu bazvi 	16	3561	Male	toi	220829-204606_toi_0ae_elicit_15.wav
alimwi kuti muntu nayanda kukwata nguni uutalika makani 	16	3561	Male	toi	220825-180654_toi_0ae_elicit_26.wav
nkabela wakalailila sitanga mutaanzi kuti akuswana esau mukulana wangu akubuzya kuti uli wani uya kuli azeezi nzojisi nzizyani 	16	14020	Male	toi	221011-153723_toi_308_elicit_17.wav
lino nibwakaca mupati wakaambila mwanike wakwe kuti bona jilo ndakalede ataata 	16	9483	Female	toi	220929-202615_toi_97d_elicit_2.wav
citondezyo camwaalumi kwali kulubazu lomwe ubamba cakulya ambaula yakukanga nyama kasamide amagilazi alimwi asikipa iisiya 	16	12500	Female	toi	221213-111848_toi_b9a_elicit_21.wav
bamakaintu bobile balilede a mabwe munsi a lwizi 	16	4038	Female	toi	221207-211353_toi_b9a_elicit_25.wav
mulombwana ulakutondeka cimwi cintu ku musankwa mukati a bbuwa lya ndeke kakuboneke a ndeke musyule 	16	9642	Female	toi	221210-151712_toi_b9a_elicit_21.wav
ngotazyi kabotu pe cimwi cindi uya kukwata utondwa 	16	3743	Male	toi	220829-204606_toi_0ae_elicit_12.wav
muntu ulanzikidwe amabwe akumamanino mujulu mwa mavwumina kalanga ansi aakwe 	16	8598	Female	toi	221212-095755_toi_b9a_elicit_11.wav
alimwi ing ombe zili musanu azibili zikotede zibi izyakasyaalila kuzwa nkukuti myaka iili musanu aibili 	16	13408	Male	toi	221011-181531_toi_308_elicit_21.wav
katobolo kumweenzyinyina inga ndakudubula awa bantu bali mucibuye kabataimvwide kulila 	16	13567	Male	toi	220912-160501_toi_97d_elicit_26.wav
mbunga yabantu bali invwi mumulaini a mumbali a bwanda 	16	5331	Female	toi	221210-174855_toi_b9a_elicit_18.wav
mpawo jakobo wakasika kuli izaka wisi ku mamre ku kiriyati ariba ngonguwo hebroni abrahamu a izaka nkubakali kukala kala 	16	17514	Male	toi	221011-163041_toi_308_elicit_32.wav
limwi kanjimaanu nkokuti nyama yoonse ilanona kuti yajikwa kabotu 	16	6624	Female	toi	220907-085934_toi_707_elicit_39.wav
bantu banji banji bamikana anze mukazila elyo mudala umwi usamide cisani ca myengo uli a kwenda kunembo lyabo 	16	9574	Female	toi	221210-173239_toi_b9a_elicit_9.wav
jakobo mbwaakasinana a leza 	16	2722	Male	toi	221011-153723_toi_308_elicit_23.wav
basamide zi sani zya cikambwe a kutuba a ntambo mumusana zya mungungawaji kumbele a ngoma zinji zibikidwe a ngowani mbili isamide mukaintu 	16	12001	Female	toi	221210-174315_toi_b9a_elicit_6.wav
mwaalumi uusamide bulukwe bwa cikambwe asikipa ya cikambwe ulikkede acincini cakuwacha zisani kasanzya mpulungwido 	16	11752	Female	toi	221213-094854_toi_b9a_elicit_11.wav
wakali kuunka kumilyango yabantu kuya kulomba cakulya 	16	4242	Female	toi	220907-085934_toi_707_elicit_28.wav
mwaalumi uusamide zyisani zyigambya ulikkede acuuno camulubuwa lusyangidwe syokwe munsi munsi a cintoolo ca ben alimwi a jerry 	16	11434	Female	toi	221205-163057_toi_b9a_elicit_7.wav
bamwi bacembele bakandaambila kuti oyu mwezi wakau hkwa izyina eli nkaambo masamu amwi naatalika kubika mateo elyo aya mateo ac i manlini 	16	15404	Female	toi	220903-234119_toi_707_elicit_43.wav
uuvuzya imbono zyakwe kukujana impindu zyazikwelete ulaziyobweda sikufwida bacete luzyalo 	16	9075	Female	toi	221214-095919_toi_b9a_elicit_39.wav
amane kumunywisya wakati ndatekela inkamele zyako azyalo 	16	5717	Female	toi	221228-202245_toi_b9a_elicit_37.wav
aalo makunka aali musanu aabili aapuputide aabijide kumuuwo wakujwe nkukuti myaka iili musanu aibili yanzala 	16	17174	Male	toi	221011-181531_toi_308_elicit_22.wav
wakacizwisya cakali kumupenzya lyoonse kumoyo 	16	4514	Female	toi	221228-183113_toi_b9a_elicit_33.wav
pesi kotamvwi kuti caa mbanzi 	16	1610	Male	toi	220825-180654_toi_0ae_elicit_0.wav
kucita cakululama acakoololoka cilayandika kuli jehova kwiinda zipaizyo 	16	11184	Male	toi	220916-171743_toi_97d_elicit_33.wav
aboobo ndini kuli aazinji zyakulibambila sunu kumazuba ajunza 	16	8349	Female	toi	221228-125403_toi_b9a_elicit_48.wav
wakeza anongo yakwe akuko lyakwe oyo musimbi keebeka loko alimwi kali nakalindu 	16	9528	Female	toi	221228-202245_toi_b9a_elicit_32.wav
lunyonyongano lwabasizibi lulabatolelela nkaambo bakaka kucita bululami 	16	11116	Male	toi	220916-171743_toi_97d_elicit_37.wav
zeeluka wakali muntu wakali kuluulwa kukama 	16	4628	Female	toi	220912-161719_toi_707_elicit_8.wav
kunyina cizyano cikondelezya mbuli budima 	16	2563	Male	toi	220829-123454_toi_0ae_elicit_18.wav
tee sikale wakati kazyula nkumba muyoba wakabuzya mutelampondo 	16	5898	Female	toi	221228-151724_toi_b9a_elicit_22.wav
babwa bobilo uusiya a wa myuubi iisiyo balabalika mulubuwa 	16	8349	Female	toi	221212-085950_toi_b9a_elicit_21.wav
bataata mbibakazyi kundisyamwida maseseke aako aayo yeee ulabeja mucele ulya 	16	14497	Male	toi	220912-160501_toi_97d_elicit_1.wav
wakamulenga mucinkozya ca leza wakabalenga boonse mwaalumi amwanakazi alimwi 	16	6261	Female	toi	221228-195818_toi_b9a_elicit_13.wav
josefa mbwaakabikwa muntotongo lino josefa kali aciwa cibotu keebeka loko 	16	11298	Male	toi	221011-174142_toi_308_elicit_42.wav
mulombwana kajisi lwija lupati ulikkede kumpela a lubulo lwa calvin klein antoomwe amulombwana kalangide 	16	9642	Female	toi	221207-165029_toi_b9a_elicit_13.wav
mbubo ndaboola wakazumina mutelampondo sena nkwaali oonse alikkwene antoomwe 	16	14588	Male	toi	220912-165131_toi_97d_elicit_2.wav
nkujana kunyina aciliko oonse musinza kukwa bakalu 	16	4446	Male	toi	220829-121443_toi_0ae_elicit_46.wav
ngonguwe wakatupandulwida ziloto zyesu akutwaambila umwi aumwi mbucaamba ciloto cakwe 	16	9392	Male	toi	221011-181531_toi_308_elicit_5.wav
mubwa uusiya amubwa wamungungawaji baleenda mubwizu 	16	4469	Female	toi	221213-093545_toi_b9a_elicit_10.wav
mbookabwenye banyoko liya ncookali kunditukila 	16	2586	Male	toi	220825-174423_toi_0ae_elicit_1.wav
ino cakamukatazya obu mbwaakali kufwidilila biya kuli 	16	5104	Female	toi	221228-130305_toi_b9a_elicit_33.wav
nkabela wakajata cikobela cakwe wati atulale ayebo mpawo wakasia cikobela cakwe mujanza lyakwe wacija waya anze 	16	15019	Male	toi	221011-174142_toi_308_elicit_49.wav
mukaako uyooba amwana nkabela sara wakamvwa majwi aya kumulyango wacilao kusule 	16	9664	Female	toi	220927-213329_toi_97d_elicit_11.wav
bubo sena kamulindila ndibaite wakaamba muntu wakali kukanana 	16	9211	Male	toi	220912-160501_toi_97d_elicit_36.wav
kuli musankwa pesi uubeleka kwakwe oyu musankwa masiku inga uleendeenda kulonda munzi 	16	9301	Female	toi	221228-155549_toi_b9a_elicit_9.wav
inombe zyabo ambono zyabo abanyama babo sa zyoonse buyo tazikooyooba zyesu atuzumine lino balakala aswebo 	16	15563	Male	toi	221011-160540_toi_308_elicit_39.wav
kamboni mubeji uyoopegwa mulandu uuyooya zyakubeja takooyoolivuna 	16	7577	Female	toi	221214-082558_toi_b9a_elicit_4.wav
nkabela wakaambila wisi kuti kutabiji mu meso aasimalelaangu kuti nsikonzyi kunyampuka kubusyu bwako nkaambo ciindi cakutondwa cili kulindime 	16	19715	Male	toi	221011-123458_toi_308_elicit_9.wav
lino zikala zyoonse balanda bawisi nzibakasya mumazuba aa abrahamu wisi ba filisti bakazisinka akuzivwikila 	16	11184	Female	toi	221230-114451_toi_b9a_elicit_24.wav
ulikunze lyakwe kabalingizya kumwi basamide zyisani zyacikambwe 	16	5603	Female	toi	221230-131936_toi_b9a_elicit_20.wav
amane wakabbatika lugwalo ndwaakali kulemba acamba cokwa mutelampondo 	16	7101	Female	toi	221228-190711_toi_b9a_elicit_8.wav
silutwe wa basikalumamba usamide sikipa limweka wiimvwi kumbele lyamootokala amubwa wakwe 	16	8417	Female	toi	221230-143938_toi_b9a_elicit_19.wav
ino kayi nkaambo nzi ng anda yokwanu ncoili mpati kwiinda zimwi alimwi yalo ili akati 	16	9438	Female	toi	221228-093456_toi_b9a_elicit_34.wav
mbwabede mutumwa uusyomeka kulibaabo bamutuma ulabusya myoyo yabami bakwe 	16	14315	Male	toi	220916-181440_toi_97d_elicit_25.wav
pele mutamubikili maanza aanu wakaamba obo kuti amuvune kumaanza aabo akumupilusya kuliwisi 	16	10753	Male	toi	221011-170850_toi_308_elicit_24.wav
musimbi uusamide campeyo cacisombo alimwi kanyamude bbeke yagwezyo ulangide kutaala kakuli bantu banji kunze kwakwe 	16	8848	Female	toi	221213-103711_toi_b9a_elicit_5.wav
kowakaciyandawida niciba cakabbigwa isikati niciba cakabbigwa masiku 	16	11230	Male	toi	221011-123458_toi_308_elicit_17.wav
mwana ulaamasusu mabotu usamide magogo acikambwe asikipa yanyanzabili kumwi ulayaamba mumeenda 	16	7146	Female	toi	221230-121748_toi_b9a_elicit_30.wav
uuyandisya kusalala kwamoyo alimwi uli amwaambo waluzyalo mwami ulaba muzwalani wakwe 	16	14565	Male	toi	220916-174104_toi_97d_elicit_21.wav
kunyina nyama pe alimwi mutani kusiki kuno kusambala 	16	3652	Male	toi	220829-210823_toi_0ae_elicit_1.wav
imubwa wamabala mabala wasotoka mujulu kujata bbola yacisobano ca tennis kali mumuunda wabwizu bwizu 	16	9846	Female	toi	221230-124807_toi_b9a_elicit_12.wav
lino esau naakatambya meso aakwe wakabona banakazi abana nkabela wakabuzya kuti ino mbobani aba mboli abo 	16	13680	Male	toi	221011-153723_toi_308_elicit_43.wav
nizyakamudubula ntobolo anselelo aankolo haatimba kwategwa wakatyoka tubambo tobilo 	16	11661	Male	toi	220907-201714_toi_97d_elicit_27.wav
tuzumine kucita cintu comwe nkukuti tuleelede kuzumina kuti baalumi boonse akati kesu bapalulwe mbubonya mbuli mbubapalwidwe balo 	16	15926	Male	toi	221011-160540_toi_308_elicit_38.wav
mukaintu uukwetwe sicimwensyi uusamide sikipa ilamfwu maboko isubila ulalipenta penta kumeso acimbonimboni 	16	11026	Female	toi	221207-143547_toi_b9a_elicit_21.wav
lino wakanjila mwaakabede wisi wati taata wakavuwa kuti mpondi 	16	7260	Female	toi	221230-113547_toi_b9a_elicit_24.wav
kumamanino uyooba sikulyazina lyakwe muntu mukali ulabusya inkondo 	16	10254	Male	toi	220916-164149_toi_97d_elicit_42.wav
musankwa mukubusyi ulanga langa muunda wazyitende kumwi kabikkide imbi muwilibbala 	16	7464	Female	toi	221207-150000_toi_b9a_elicit_6.wav
kumatalikito aamwezi oyu bantu boonse babamba matalaabo kuti babike kabotu zyakulya zyabo kukati 	16	11956	Female	toi	220903-202609_toi_707_elicit_44.wav
lyoonse mabondo alacaala kaabwa 	16	2246	Male	toi	220829-115108_toi_0ae_elicit_1.wav
bamwi nobaciti antela nobacikanza kuti kubota kulima awa walo uya uunyangauka mbwaabonena nkutalika kupanda 	16	8530	Male	toi	220829-210823_toi_0ae_elicit_48.wav
mubwa uuitwa kuti german shepherd ulabalika akasamu mumulomo 	16	4741	Female	toi	221212-121357_toi_b9a_elicit_13.wav
mukaintu mu pati usamide delesi li siya ulinwvi anze a mulyango kajisi cinkwa 	16	5422	Female	toi	221210-175557_toi_b9a_elicit_1.wav
pele oyo uuyumya moyo wakwe ulawida mumapenzi mbuli mulavu uuvuluma na masekese uulwisya 	16	14225	Male	toi	220916-164149_toi_97d_elicit_8.wav
wakasamide acibaki cituba atayi uusiya munsingo 	16	7895	Male	toi	220912-174208_toi_97d_elicit_31.wav
twasyomezya beenzuma kuti ndaboola cindi cili boobu 	16	2790	Male	toi	220825-180654_toi_0ae_elicit_16.wav
pele naakacili kule bakamubona nkabela naatakaina kusika bakamuvwiya kuti bamujaye 	16	11003	Male	toi	221011-170850_toi_308_elicit_19.wav
ulajana caida nkaambo kuya nkoya uya kujana misalo minji minji 	16	4265	Male	toi	220825-180654_toi_0ae_elicit_11.wav
nkabela jakobo wakaimika malende nkokuti malende aamabwe nkukonya oko nkwaakaambaula awe 	16	10731	Male	toi	221011-163041_toi_308_elicit_17.wav
haatimba wakabona cikwankwani cakalembedwe kuti mazabuka rural council 	16	7169	Female	toi	221228-093456_toi_b9a_elicit_14.wav
lino izaka wakakala ku gerari nkabela bantu bakooko nibakamubuzya makani 	16	6261	Female	toi	221230-114451_toi_b9a_elicit_11.wav
mwaalumi uusamide sikipa yamubala usiya waabanya cimwi cintu kukabunga kabasimbi bakkede acuuno cacipulanga 	16	11048	Female	toi	221205-160542_toi_b9a_elicit_26.wav
elyo esau wakabuzya kuti nkokutyeni aya makamu makamu ngendakaswana wakavuwa kuti nkokujana buuya mumeso aamwami wangu 	16	16471	Male	toi	221011-153723_toi_308_elicit_47.wav
banamutekenya bobillo beenzya moota uubambidwe bwaandeene 	16	6216	Female	toi	221207-144416_toi_b9a_elicit_22.wav
autegwa batalike kweeba wakakwatwa kumusilisi haatimba 	16	7101	Male	toi	220912-174208_toi_97d_elicit_15.wav
mwalumi amukaintu uubikkide kabbeeke agwezyo baleenda akati kambunga 	16	7759	Female	toi	221205-210659_toi_b9a_elicit_20.wav
buncelele bula ambeyo mbwindakabede 	16	2972	Male	toi	220824-212101_toi_0ae_elicit_36.wav
aawa ndati inga ndakkomana kuti mwaboola kwangu kwainda biyo cisela cawoola mulandijana 	16	11729	Male	toi	220912-165131_toi_97d_elicit_1.wav
mbubo owaako intutube biyo ndatubona ambeyo 	16	3902	Female	toi	221204-133851_toi_ee8_elicit_43.wav
boonse bamakaintu mbaakakwatilila banabakwe bakali lomene 	16	6216	Female	toi	221228-095833_toi_b9a_elicit_41.wav
takanaba kaindi yakamumvwa nsolo izya bulila 	16	3335	Male	toi	220829-121211_toi_0ae_elicit_6.wav
lino kusule lyazeezyo mwakazwa impwizi azimwi zili musanu azibili zikotede zili aziwa zibi ziyuminide loko amibili yazyo 	16	6624	Male	toi	221011-181531_toi_308_elicit_12.wav
mwaalumi waku asia uusamide sikipa ilamfwu maanza yamubala wa cikambwe ulangilila muunda wamansaansa akanzila kajisi azilembedwe 	16	10821	Female	toi	221212-091650_toi_b9a_elicit_10.wav
tapatila musongo ulakuyanda iyisya muntu musongo ulaliyungizizya busongo alimwi fundisya muntu uululeme ulavuzya luzibo lwakwe 	16	13204	Female	toi	221213-132311_toi_b9a_elicit_30.wav
cikolo bakali kundisinganya muciindi cakundilumba kalombwana sikale wakali musongo wakati 	16	8598	Female	toi	221228-104522_toi_b9a_elicit_32.wav
alimwi bagutu bamatanga aako nsikwe nindakabalya kufumbwa cintu icakalumwa banyama bamusokwe 	16	7169	Male	toi	221011-123458_toi_308_elicit_15.wav
kukupandulwida kaambyo aka ndakwaambila kaano kamwi 	16	2904	Male	toi	220829-115108_toi_0ae_elicit_49.wav
mwaalumi uuli mubwato mumeenda ulanga kulubazu kwa kkamela 	16	5694	Female	toi	221212-145037_toi_b9a_elicit_11.wav
ibanabukwetene amwana ujisigwi amwaalumi bakkede munsi munsi akaziba pulemu afwaafwi 	16	7736	Female	toi	221230-133110_toi_b9a_elicit_13.wav
nkuko nciceeco oyo munzi ncoambilwa kuti ngu zoari lino izuba nilyakamana kupata loti wakanjila mu zoari 	16	13136	Female	toi	221214-103945_toi_b9a_elicit_14.wav
kuli mbuli lino ibbi nanka mweendo uutezemuka mbuli muntu uusamununa cikobela mubuzuba bwampeyo 	16	11752	Female	toi	221214-091851_toi_b9a_elicit_36.wav
mwana musankwa ulabalika mucizyiba cameenda anze 	16	4560	Female	toi	221212-125046_toi_b9a_elicit_27.wav
basimubweza twaambo abalo bakayimina amulyango kumubweza zifwanikiso 	16	7305	Female	toi	221228-162240_toi_b9a_elicit_30.wav
pele uupilingene munzila zyakwe ulawida mucilindi uulima nyika yakwe ulakuta cilyo 	16	12319	Male	toi	220916-164149_toi_97d_elicit_12.wav
ino kayi nkooko tumvwane wita ongaye mbwaanga swebo ncuulu biyo comwe wakabuzya lwando 	16	9664	Female	toi	221228-155549_toi_b9a_elicit_25.wav
pesi mulandu tuuligwi cucu 	16	2132	Male	toi	220829-115108_toi_0ae_elicit_39.wav
ono mukaintu oyu naakamana mumoyo wakwe wakati 	16	2767	Male	toi	220825-172540_toi_0ae_elicit_16.wav
mudaala ujisi cintu cimwi mpoona alanga basimbi bakubusyi bobilo bakkede atabule lilaanze lilangene anguwe 	16	11661	Female	toi	221230-131936_toi_b9a_elicit_14.wav
uutapengede ukede biya ndi akumvwa kaambo 	16	2790	Male	toi	220829-113143_toi_0ae_elicit_41.wav
aboobo nsyaandi kuba kabwenga uunga akweleta ng ombe naa mpongo kumuntu vaakwaala kujosya 	16	12183	Female	toi	221228-102126_toi_b9a_elicit_41.wav
ndasoleka kubuzya bama nene banji pesi kwiina uwakakonzya kundipa matalikilo mabotu pe 	16	8144	Female	toi	220903-234119_toi_707_elicit_42.wav
