sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
mwaalumi uta samide sikipa utanta malundu amabwe 	16	4287	Female	toi	221213-112914_toi_b9a_elicit_13.wav
kabasaanyina nowa wakali kweenda a leza nkabela nowa wakazyala bana botatwe semu hamu a jafeti 	16	12773	Female	toi	220904-182522_toi_0ae_elicit_19.wav
mukaintu usamide zisaninzi salala a zisiya ulinvwi kunembo a ng anda kali kuma kasensa 	16	8870	Female	toi	221210-181328_toi_b9a_elicit_18.wav
atambye meso aakwe wakabona mwanike wakwe benjamini mwana wabanyina nkabela wakababuzya kuti 	16	7872	Female	toi	221230-204223_toi_b9a_elicit_41.wav
ku pwando lilakucitika anze 	16	2586	Female	toi	221210-161339_toi_b9a_elicit_10.wav
mukaintu ufulida acinwido cipya kapati kakuli ulikkele atebule kumabali akwendela 	16	10481	Female	toi	221207-165029_toi_b9a_elicit_22.wav
bantu bone basobana bbola munsi munsi amulonga kakuli makumbi manji kujulu 	16	6125	Female	toi	221213-094854_toi_b9a_elicit_13.wav
uupilingene ulalya micelo yanzila zyakwe amuntu mubotu ulakuta kumilimo yakwe 	16	7713	Female	toi	221213-153842_toi_b9a_elicit_11.wav
caalama wakalimvwa bubi wamvwa wayoowa cakamunyandya mbwaakazyi kutalika kuyoowa 	16	8802	Female	toi	221228-183113_toi_b9a_elicit_46.wav
bukali bwamufubafuba bulaboneka ndilyonya pele musongo ulasisa insoni zyakwe 	16	7623	Female	toi	221213-151941_toi_b9a_elicit_11.wav
mufubafuba tabotelwi kumvwisya ulayanda kuyubununa miyeeyo yamoyo wakwe buyo 	16	7260	Female	toi	221214-081355_toi_b9a_elicit_27.wav
badaala bali mucitisyini cacitima ceendele kunsi basamide cisani cileemu kumwi balabala a muteende 	16	9415	Female	toi	221212-091650_toi_b9a_elicit_1.wav
kusikila limwi haatwakwe akawite muya wako kukupegwa cisubulo cimbi ncoelede 	16	15881	Male	toi	220912-160501_toi_97d_elicit_18.wav
musimbi uyanda kuuma kaneti kalakusika atala a mutwe wakwe akasabwi kakaneti 	16	8530	Female	toi	221207-182835_toi_b9a_elicit_10.wav
baunke kulingula bacembele nkuya kujana nombe bakazitanda 	16	4787	Female	toi	221204-133851_toi_ee8_elicit_10.wav
kuli mwana musimbi ulaa masusu mabotu uusamide nkausu yamubala wanyanzabili asikipa isubila ulasobana mulubuwa lusobanina 	16	13340	Female	toi	221205-160542_toi_b9a_elicit_16.wav
wakapandulula kumapulisa mbuli bantu aba mbobakabambidwe anzyobakasamide 	16	7418	Male	toi	220907-201714_toi_97d_elicit_19.wav
tantamukila oko alimwi bakati oyu muntu wakeza kukala kala akati kesu lino sunu 	16	10663	Female	toi	220929-200958_toi_97d_elicit_12.wav
eeci ciya kuleta kukanana kupati tanaakakkomana mudaala naaba anjini 	16	6760	Female	toi	221228-105726_toi_b9a_elicit_38.wav
bana botatwe basamide mayunifoomu abasikusobana cisobano cabbola balundukila bbola yamabala aacikambwe acisikili 	16	8757	Female	toi	221212-131327_toi_b9a_elicit_1.wav
lino bana ba israyeli bakacita obo josefa wakabapa ng ola mbubonya mbwaakaamba farao abulilu boonse wabapa 	16	9937	Female	toi	221230-160247_toi_b9a_elicit_12.wav
ulanyonyoona munzi woonse nkaambo kakubula musanu wakati na ndajana mumo 	16	9483	Female	toi	220927-213329_toi_97d_elicit_38.wav
haatimba wakali kuyanda kwa masyikati bakeelede kupegwa habwa bakwe kabapegia 	16	9823	Female	toi	221228-183113_toi_b9a_elicit_49.wav
mwana musankwa uujisi zigilazi zyakudwaya zyamungunga waji uusmide sikipa yacikambwe alimwi abulukwe bwakoonena bwacikambwe uli mujulu ku n ganda 	16	14905	Female	toi	221213-103711_toi_b9a_elicit_9.wav
bamaalumi bobilo omwe kaimvwi mpoona omwi kakkwelede ancinga balabandika anze amayake 	16	7169	Female	toi	221207-145254_toi_b9a_elicit_1.wav
alimwi utatobeli inzila zyakwe nkaambo muntu uupilingene ulasesemya jehova pele bantu baluleme mbobajisi lulayo lwakwe 	16	10322	Female	toi	221213-114114_toi_b9a_elicit_44.wav
kana kasimbi kasamide sikipa yamubala wamungungawaji kayanda kusowa bbola itete yamungungawaji 	16	7623	Female	toi	221210-184833_toi_b9a_elicit_23.wav
muusimbi ulaa masusu malamfwu asiys siya avwumbide vwumbide kumeso ubikkide kuboko acamba 	16	9188	Female	toi	221205-204405_toi_b9a_elicit_1.wav
kuti akwate mwanakazi wakooko ambwaakamulailila mukulongezya kwakwe kuti 	16	11003	Female	toi	221229-144209_toi_b9a_elicit_30.wav
utaleyi nekuba kululyo nekuba kulumwensi leesya maulu aako kububi 	16	7260	Female	toi	221213-115557_toi_b9a_elicit_20.wav
mubwa uusiya siya alimwi kuutuba ula sotooka sotooka mucikweeya cisubila mubusena bwaku tulena 	16	8462	Female	toi	221213-090454_toi_b9a_elicit_6.wav
mubwa uutuba babwa bobilo basiya alimwi amubwa uusiya alimwi kuutuba balasobana kumbali kwa muunda wa bbola 	16	10504	Female	toi	221212-125046_toi_b9a_elicit_10.wav
mukaintu uusamide sikipa iisiya utondzya mwaalumi uusamide sikipa yamyeengwe cimwi cintu mucitondezyo 	16	7260	Female	toi	221212-130445_toi_b9a_elicit_16.wav
mumwezi wa gandapati nceciindi bantu bamwi nobajwa bwizu bwakuvumbya maanda abo mumwezi oyu kwaana takumani pe 	16	13816	Female	toi	220903-234119_toi_707_elicit_18.wav
kuli mbuli lino ibbi nanka mweendo uutezemuka mbuli muntu uusamununa cikobela mubuzuba bwampeyo 	16	11752	Female	toi	221214-091851_toi_b9a_elicit_36.wav
baama baama ndali kujika mukonde 	16	3788	Female	toi	220907-085934_toi_707_elicit_43.wav
mukaintu uusamide delesi lyamabala mabala weenzya cuuno akkona mumbali aamugwagwa kumwi mwaalumi uusamide sikipa iilamfwu ituba weenda kugama mugwagwa 	16	12659	Female	toi	221207-145254_toi_b9a_elicit_21.wav
benjamini nguumpe uuluma cifumofumo ulalya indume igoko ulaabila nyama 	16	8553	Female	toi	221230-145947_toi_b9a_elicit_46.wav
sikukwaba bbola ujisi yunifoomu iisalala ulakunkulikila kumbele kwa ngoolo 	16	9347	Female	toi	221212-085950_toi_b9a_elicit_8.wav
naakasika akubuzya nkwaakaajana maila manji al boobu 	16	4265	Male	toi	220829-121443_toi_0ae_elicit_22.wav
bana basankwa bobilo bali aangubo ansi kumbele kwa n ganda yabo 	16	4401	Female	toi	221212-131327_toi_b9a_elicit_33.wav
namwaamba bola nkoya kuli baamba 	16	2041	Male	toi	220825-174423_toi_0ae_elicit_48.wav
bamakaintu banji anji basamide ntambala kumitwe yabo cakubunganisigwa a lubwa lya nkuta 	16	7986	Female	toi	221207-142348_toi_b9a_elicit_23.wav
ncitutangene anyika kuyooba kuti na ndabusya ijoba ajulu lyanyika fulicoongo wangu 	16	12024	Female	toi	220904-190848_toi_0ae_elicit_42.wav
nkabela hamori wisi sekemu wakainka kuli jakobo kuyooambaula awe 	16	8122	Male	toi	221011-160540_toi_308_elicit_18.wav
mwalumi usamide chisani ci siya a bulukwe bwa jiini ulaku gonka chisamu a tebule kuti amaninzye kuyaka mupanda wa zisamu ngwakatalika 	16	13181	Female	toi	221207-182835_toi_b9a_elicit_22.wav
lemba lugwalo kumupati wako uubeleka 	16	3312	Female	toi	221205-183240_toi_ee8_elicit_44.wav
citondezyo camwaalumi kwali kulubazu lomwe ubamba cakulya ambaula yakukanga nyama kasamide amagilazi alimwi asikipa iisiya 	16	12500	Female	toi	221213-111848_toi_b9a_elicit_21.wav
muntu usamide cisani ca cikambwe cisiya kaji ambulela isalala uli a kuboneka mu nvula 	16	10232	Female	toi	221210-175557_toi_b9a_elicit_23.wav
bamaalumi botatwe baimvwi masiku munsi munsi a moota usiya munsi amayusilo azwide ncinga 	16	8280	Female	toi	221230-133110_toi_b9a_elicit_14.wav
aaka kaambyo kakazyila kunkumba itabonwi bonwi cita yawa mvula nkokubonwa 	16	9438	Female	toi	221214-102741_toi_b9a_elicit_27.wav
ikabunga kabantu banji baleendeenda mumugwagwa uli mumunzi kabali kusyule amoota kakuli omwe weenda amaulu 	16	8417	Female	toi	221230-123721_toi_b9a_elicit_3.wav
mumumuni wabusyu bwamwami momuli buumi kubotelwa kwakwe kuli mbuli mayoba aaleta imvula 	16	8734	Female	toi	221214-080256_toi_b9a_elicit_29.wav
mwana musankwa uwida mukazyiba kumwi mwaalumi a musimbi kabalangilizya 	16	6534	Female	toi	221230-120719_toi_b9a_elicit_11.wav
imubwa wamabala mabala wasotoka mujulu kujata bbola yacisobano ca tennis kali mumuunda wabwizu bwizu 	16	9846	Female	toi	221230-124807_toi_b9a_elicit_12.wav
ulawisya buyumu bwang anda njebakali kusyoma uubamba kabotu mulomo wakwe alulimi lwakwe 	16	8349	Female	toi	221214-084847_toi_b9a_elicit_26.wav
bamalumi banji banji balakulangilizya cimwi cintu amupanda 	16	5059	Female	toi	221207-173408_toi_b9a_elicit_13.wav
mwalumi usamide kasabwi kakulyengelela a ngowani ya cikambwe ujisi munkuli mujulu 	16	7418	Female	toi	221210-150640_toi_b9a_elicit_17.wav
aboobo kwakaba igoko alimwi kwakaba cifumo buzuba bwabili 	16	6602	Female	toi	221228-191455_toi_b9a_elicit_26.wav
kumwi maanza akwe kaavwumbide meso amukaintu uumbi uusamide sikipa yamyeengo yamubala wamungunga waji 	16	10912	Female	toi	221205-210659_toi_b9a_elicit_11.wav
muntu uusamide nzyeete lin gaima jansi ayalo in gaima a bulukwe ulisinteme ansi 	16	9937	Female	toi	221210-184833_toi_b9a_elicit_3.wav
kuti muye kunyika eyo njaakakonkezya kuli abrahamu akuli izaka akuli jakobo 	16	7804	Female	toi	221230-144601_toi_b9a_elicit_32.wav
banyama bamusyokwe abayuni bamusyokwe cita mbobabede buya balaa kanunko 	16	5762	Female	toi	221214-101722_toi_b9a_elicit_16.wav
mu nineteen seventy two ndakazyi kutalika kumvwa twaambo tunjitunji anguwe 	16	6783	Female	toi	221228-131959_toi_b9a_elicit_12.wav
tee kayi ulaazyi kabotu kabotu makani kuti wakabeja 	16	6329	Female	toi	221228-162240_toi_b9a_elicit_18.wav
pombe bamwi nobacizekazeka kuti inga ulaula 	16	5966	Female	toi	221203-121206_toi_ee8_elicit_2.wav
kuya kulinda nkolola yabukoko kumunzi kwa syamulipwe 	16	4719	Female	toi	221203-160114_toi_ee8_elicit_30.wav
mukaintu uulemba amapepa ancito kakuli mukaintu umwi ulalindila 	16	5082	Female	toi	221212-122525_toi_b9a_elicit_4.wav
amane kumunywisya wakati ndatekela inkamele zyako azyalo 	16	5717	Female	toi	221228-202245_toi_b9a_elicit_37.wav
kasankwa kanini kasamide winifomu wabasibbola kalakwenda kuswangana a sibbola ngobazundana limwi 	16	9415	Female	toi	221207-173408_toi_b9a_elicit_10.wav
makakata alalesya kukazyanya alaandaanya basinguzu 	16	6148	Female	toi	221214-081355_toi_b9a_elicit_43.wav
mudaala chiingabacende wakaamba abuzuba bwamyezi tee kayi eeco caamba kuti kamutaninga unka kukubona 	16	10821	Female	toi	221228-183113_toi_b9a_elicit_14.wav
caalama wakalijata amane waakweeta nkomek wakamutilila buniini butavwuli nkomeki amane wamupa 	16	10277	Female	toi	221228-181007_toi_b9a_elicit_4.wav
nabwiinga uusamide delesi iituba ulizingulukidwe abeenzinyina basibwiinga abeenzyinyina banabwiinga basamide zisani zisiya 	16	11253	Female	toi	221213-090454_toi_b9a_elicit_14.wav
inkamu yabantu ilasobanya cibbanjo alimwi amabbanjo kumwi kabaimba muma maikulifooni 	16	7328	Female	toi	221212-095755_toi_b9a_elicit_15.wav
kumwi sikusambala uusamide kalembo kakukutaukila asikipa yamulotwe wamupa kapulasitiki katakwe ncokajisi 	16	12001	Female	toi	221205-213559_toi_b9a_elicit_7.wav
pele inywe nobamwi kamuya aluumuno kuli usowanu 	16	5082	Female	toi	221230-161409_toi_b9a_elicit_19.wav
ulicizvi ncakwitila sena 	16	2450	Female	toi	221204-154324_toi_ee8_elicit_22.wav
jehova nguumunikila meso aaboonse buyo mwami uubeteka batengwana cakululama 	16	12364	Male	toi	220916-164149_toi_97d_elicit_34.wav
wapiluka kubeenzinyina wati mwana taciwo lino mebo njiinke kuli 	16	6783	Male	toi	221011-170850_toi_308_elicit_34.wav
mbuli kaaka tunji tunji bakabelesya liciswa mwana 	16	5059	Male	toi	220824-212101_toi_0ae_elicit_3.wav
mwana ulaamasusu mabotu usamide magogo acikambwe asikipa yanyanzabili kumwi ulayaamba mumeenda 	16	7146	Female	toi	221230-121748_toi_b9a_elicit_30.wav
mwana musimbi a cisono cipentedwe cikambwe alimwi a mungungawaji mponya musyule tamulibonyi kabotu 	16	8938	Female	toi	221207-215437_toi_b9a_elicit_18.wav
ndakaunka ku amelika ooko kwalo nkundakaakujana basimbi 	16	7191	Female	toi	221228-105726_toi_b9a_elicit_28.wav
mudaala ulaamalezu usamide magilazi wiimvwi mung anda yakwe kajisi cisekwe cijisi milyango ya magilazi 	16	7940	Female	toi	221230-133110_toi_b9a_elicit_9.wav
wakayandaula pepa lyakulembela mpaakali kulemba lugwalo akutalika nomuyandwa nobabetesi 	16	14520	Male	toi	220912-174208_toi_97d_elicit_6.wav
zintu ziyandika zyazilundu ziteeli zibe amutwe wa josefa amutwe wayooyo iwakaandeene ababunyina 	16	10345	Female	toi	221230-145947_toi_b9a_elicit_45.wav
mubwa uli mumuzundano wasotoka a mungwamba 	16	4469	Female	toi	221210-153407_toi_b9a_elicit_15.wav
kuti naa mubelesi wang nkwali ang anda nindakaswena munsi iyakwe kuti ndibone naa nguni ngundakali kukanana limwi 	16	10958	Female	toi	221228-190233_toi_b9a_elicit_48.wav
muntu ulanzikidwe amabwe akumamanino mujulu mwa mavwumina kalanga ansi aakwe 	16	8598	Female	toi	221212-095755_toi_b9a_elicit_11.wav
mwana umweta mweta kumwi kajisi kankuli kumwi katyanka tyanka ka limooti 	16	6511	Female	toi	221212-150524_toi_b9a_elicit_14.wav
nyika yabapaizi luzutu taakwe naakaiula nkaambo bapaizi bakalipedwe caabilo kuzwa kuli farao 	16	8984	Female	toi	221230-151632_toi_b9a_elicit_21.wav
wakalicenka mubili woonse acimbonimboni wakali acoolwe nkaambo mubili wakwe wakali wamibili 	16	9301	Female	toi	221228-185504_toi_b9a_elicit_21.wav
mwana musongo ulabotezya wisi pele muntu mufubafuba ulasampaula banyina 	16	6692	Female	toi	221214-080256_toi_b9a_elicit_1.wav
mu choma mumwa chooma mwaali kabucesya cooma kacidima 	16	10731	Female	toi	220912-145955_toi_707_elicit_15.wav
haatimba wakaguna guna mutwe kutondezya kuti wamuwa naakasika awo mpaakambilwa 	16	9801	Female	toi	221228-093456_toi_b9a_elicit_20.wav
lino zikala zyoonse balanda bawisi nzibakasya mumazuba aa abrahamu wisi ba filisti bakazisinka akuzivwikila 	16	11184	Female	toi	221230-114451_toi_b9a_elicit_24.wav
mwana uusamide nsuti yakudwaya yamubala wa nkwihyi kwihyi amana iisiya mumeenda atuninga twa mabala mabala 	16	10073	Female	toi	221213-094418_toi_b9a_elicit_15.wav
mpoonya awo boonse ibakali kunjila mumulyango wamunzi wakwe bakaswiilila hamori a sekemu mwanaakwe 	16	12319	Male	toi	221011-160540_toi_308_elicit_40.wav
bana botatwe bakkede acizyuumbwe muvwanda kali akati 	16	6057	Female	toi	221205-155204_toi_b9a_elicit_7.wav
taakalwinzinini amulomo 	16	2109	Female	toi	221205-183240_toi_ee8_elicit_31.wav
kukupandulwida kambyaaka ndakwaambila kamwi kaano 	16	2972	Male	toi	220825-174423_toi_0ae_elicit_23.wav
aabili amyaka iili musanu aibili elyo wakafwa 	16	6897	Female	toi	220904-182522_toi_0ae_elicit_5.wav
mwaalumi alimwi amukaintu basamide zisani zyaciindi cakupya baleenda cakuselemuka mumugwagwa wamushika 	16	8689	Female	toi	221213-103202_toi_b9a_elicit_0.wav
ooyu mudaala chiingabacende wakalaa makumi osanwe aamyaka amyaka yobilo 	16	8008	Female	toi	221228-095833_toi_b9a_elicit_26.wav
kana kasankwa kala susu lipulungene ulikkede a cuuno ca cikambwe kajasi ca kusobanisya ku manza 	16	9211	Female	toi	221210-173239_toi_b9a_elicit_16.wav
mwana musimbi uula masusu aatuba tuba uusamide cisani ca nkwihyi kwihyi ulasotooka acitulisyo ameso aakwe kajalidwe mbuli mbwaseka seka kajisilidi cibboodi cakubulo 	16	13544	Female	toi	221213-103711_toi_b9a_elicit_14.wav
pele yebo wakatwaambila tobalanda bako kuti na mwanike wanu tasiki anywebo tamukooyoobona limbi busyu bwangu 	16	10821	Female	toi	221230-161409_toi_b9a_elicit_27.wav
mubwa ulasotooka mumuuya kaumigwa ameenda 	16	5308	Female	toi	221213-104742_toi_b9a_elicit_24.wav
nibwakaca bakabuka elyo wakati amundisungule kuya kulisimalelaangu 	16	7736	Female	toi	221228-203310_toi_b9a_elicit_46.wav
mubwa ulaleka ulagama kulya ncaapegwa 	16	3289	Female	toi	221203-121206_toi_ee8_elicit_20.wav
basimbi bobilo bali mumeenda alimwi omwe wabo usamide sikipa iituba 	16	5944	Female	toi	221212-131327_toi_b9a_elicit_24.wav
icisika biyo nsondo aaba basankwa bakayeeya kut baunke kukweendeenda kubasimbi babo 	16	6965	Female	toi	221204-133851_toi_ee8_elicit_28.wav
ino webo wakacilekela nzi kuti cicitike haatimba kayi taku mbundakali kukonzya kucigwasya 	16	9075	Female	toi	221228-145629_toi_b9a_elicit_24.wav
muntu uusamide nsuti iitete iisiya ula dwaya akayuwe kasyonto acisobanyo cakwe 	16	7668	Female	toi	221213-082737_toi_b9a_elicit_5.wav
ngozyi kuti ulalula mudaala wakali kuya bucimwa ono mukaintu wako naakafwa haatimba tonookasalazigwa 	16	10890	Female	toi	221228-125403_toi_b9a_elicit_0.wav
zeeluka wakali muntu wakali kuluulwa kukama 	16	4628	Female	toi	220912-161719_toi_707_elicit_8.wav
moota uusubila uulanzikidwe mubali mwajelele yamabwe kakuli musimbi ulebelela 	16	8280	Female	toi	221213-091016_toi_b9a_elicit_15.wav
mwalumi ulakukkilina ma tefule mu kantini kazwide zyuno zya kkokkokkola a madeko 	16	9301	Female	toi	221210-151712_toi_b9a_elicit_17.wav
aboobo tandikulek notana ndaambila ncookacitila bobuya 	16	6284	Female	toi	221228-162240_toi_b9a_elicit_19.wav
konywa nsyiimbi kutegwa ulimvwe kabotu wamana uyaambile nyika 	16	7214	Female	toi	221228-175149_toi_b9a_elicit_13.wav
wakati ndime leza leza wauso utayoowi kwiinka ku egepita nkaambo njoocita kuti ukabe musyobo mupati nkuko 	16	8689	Female	toi	221230-160247_toi_b9a_elicit_24.wav
muma nyuzipepa tulabala bweende bwacisi cesu tulamvwa bantu 	16	5354	Female	toi	220912-161719_toi_707_elicit_22.wav
amane wakati ndiyeeya kuti badaala kuli cakabapa kuti baambe boobo 	16	5626	Female	toi	221228-182130_toi_b9a_elicit_45.wav
bana bobile balakusobana a moota wakusobanisya munzila a muntu mupati omwe 	16	7532	Female	toi	221207-211353_toi_b9a_elicit_14.wav
mukwasyi utajisi n ganda usola kubamba cintuntuvwa kuzwa kutusamu alimwi acisamu mubusena muli syookwe 	16	10595	Female	toi	221212-131327_toi_b9a_elicit_28.wav
kuciindi cakusekelela bantu bajisi zyizo zyikozyenye boonana mucisi ca asia bamwi bantu balajatilila dembela mujulu kutondezya lugwasyilizyo kuli mbabo 	16	12614	Female	toi	221230-132542_toi_b9a_elicit_10.wav
mubwa uutuba wasotoka mujulu kusoleka kujata bbola isubila 	16	5898	Female	toi	221205-213559_toi_b9a_elicit_14.wav
pele twakaamwaambila kuti ne tuli bantu baluleme tatuli basimutambatamba pe 	16	8326	Female	toi	221230-203112_toi_b9a_elicit_47.wav
buzyanya makani amweenzinyoko mwini utayubununi makani aasisidwe aamuntu umbi 	16	8394	Female	toi	221214-091851_toi_b9a_elicit_25.wav
babwa bako baya kudubulwa ntobolo kwainda mazuba otatwe alimwi biya tulijisi nguzu zyaku 	16	7486	Female	toi	221228-184203_toi_b9a_elicit_20.wav
kotana likombya kamwale wakaamba kalinda kumwi kanyamuka 	16	4877	Female	toi	221228-175149_toi_b9a_elicit_7.wav
uupenzya bacete kuti alivuzizye imbono ayooyo uupa bavubi ulasikilwa kubula buyo 	16	12546	Male	toi	220916-174104_toi_97d_elicit_25.wav
bantu bali cisambomwe bamyaka iindene balimvwi kumbele kwa bwaanda bupangidwe amabwe buvwumbidwe azyizikiziki 	16	11956	Female	toi	221212-124432_toi_b9a_elicit_16.wav
nkubonwa fwulwe a cilimo sunu cakwaangula uzya butezemuka mumugwagwa 	16	10980	Female	toi	221228-151724_toi_b9a_elicit_21.wav
na mwazumina obo tulamupa bana besu basimbi akukwata bana banu basimbi alimwi tulakala antoomwe tube musyobo omwe 	16	14973	Male	toi	221011-160540_toi_308_elicit_30.wav
wakali kuyanda kuti boonse bana bakwe katana basiya asiye wabayakila maanda mayumu 	16	8076	Female	toi	221228-095833_toi_b9a_elicit_45.wav
mwana musyoonto mukuwa uusamide nzyeete ya nkwihyi kwihyi wabika maanza aakwe alukwakwa lwanketani kasola kutanta 	16	10549	Female	toi	221213-095629_toi_b9a_elicit_21.wav
beenzu bakatambika maanza aabo baboozya loti mung anda mubakabede bajala mulyango 	16	9324	Female	toi	220929-200958_toi_97d_elicit_15.wav
mubwa uusiya ulayaamba kumwi kajisi bbola lyacisobamo catenesi kumulomo 	16	8190	Female	toi	221207-145254_toi_b9a_elicit_0.wav
amulanda musimbi uulya izina lyanamalelo wakwe nkozili zintu zyone ansi nziniini 	16	13725	Male	toi	220916-171743_toi_97d_elicit_22.wav
chiingabacende wakabayandauda akubakwatilila bana bakwe boonse botatwe mbaakazyala kuli kavwumbu 	16	11026	Female	toi	221228-095833_toi_b9a_elicit_40.wav
bantu bali cisambomwe baliimvwi mung anda yazitina zyasamende kakuli cipulasitiki acisuwo camubala wanyanzabili ansi 	16	10368	Female	toi	221214-095051_toi_b9a_elicit_5.wav
mweesyo ukon dolwa ciindi nakwakafwa muntu elyo mukuyanda kuti bamulube muntu oyo wakafwa bala kumba bukoko bwamweesyo 	16	13408	Female	toi	220903-234119_toi_707_elicit_23.wav
mwaalumi uli a matwi a donkwedwe usamide magilazi a ngowani yamubala wa fuleenke 	16	6511	Female	toi	221230-143938_toi_b9a_elicit_8.wav
bantu beenda kwinda mucibwe abusena aagumanina nzila munsi munsi an ganda iijisi mabala aanyanzabili alimwi aatuba abambidwe kabotu 	16	12478	Female	toi	221213-082737_toi_b9a_elicit_12.wav
musankwa usamide chisani chisalala a kutuba wauma bbola mpati akati ka bantu banji 	16	6239	Female	toi	221207-182835_toi_b9a_elicit_43.wav
musankwa uusamide cakudwaya cisubila ulasobana mumuseenga ankomwe yalwizyi 	16	5104	Female	toi	221212-125952_toi_b9a_elicit_20.wav
nkabela kauli mudima atala lyamaanzi malamfu alakwe muuya wa leza wakali kukumba kumba atala lyamaanzi 	16	11184	Female	toi	221228-191455_toi_b9a_elicit_9.wav
nkabela kusi wakazyala nimrodi ngonguwe iwakataanguna kuba mwaalumi sintaze ansi 	16	10958	Female	toi	220904-192446_toi_0ae_elicit_19.wav
imusankwa usamide sikipa isiya siya uujisi ma headphone wakkala agwezyo lya mukaintu kabali mubbunga lya bantu 	16	9165	Female	toi	221230-132542_toi_b9a_elicit_9.wav
wakeza anongo yakwe akuko lyakwe oyo musimbi keebeka loko alimwi kali nakalindu 	16	9528	Female	toi	221228-202245_toi_b9a_elicit_32.wav
