sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
mukaintu uusamide cisani camubala wacikambwe waasamuka alimwi amukaintu usamide mubala uutuba uyaama kubweza cakunywa 	16	9165	Female	toi	221212-120347_toi_b9a_elicit_9.wav
kuza okuno kunyika ino sa ndeelede kupilusya mwanaako kucisi eco nkowakazwa abrahamu wakamuvwiila kuti ne toelede kupilusya mwanaangu oko abuniini 	16	14860	Female	toi	221228-202245_toi_b9a_elicit_14.wav
bantu bobilo balabeleka omwe ulapima mpoona umbi ulalangilizya 	16	7759	Female	toi	221205-160542_toi_b9a_elicit_7.wav
basimbi bobilo bali mumeenda alimwi omwe wabo usamide sikipa iituba 	16	5944	Female	toi	221212-131327_toi_b9a_elicit_24.wav
baama baama ndali kujika mukonde 	16	3788	Female	toi	220907-085934_toi_707_elicit_43.wav
ibana bashonto bobilo bali mumabbusu anyanzabili baleenda munzila yamudolopo kakuli umwi mukaintu mukando usamide mabbusu asiya ulabatobela 	16	10527	Female	toi	221207-165029_toi_b9a_elicit_35.wav
naanga bamwi tabasoli akoona pe 	16	3017	Female	toi	221203-160114_toi_ee8_elicit_14.wav
iili kujwe lya edeni 	16	2382	Female	toi	221228-194723_toi_b9a_elicit_44.wav
nekuba kweenda amuntu silunyemo kuti utaiyi inzila zyakwe akulyaanga mukakole 	16	18081	Male	toi	220916-174104_toi_97d_elicit_32.wav
bantu bobilo balaanze basalazya mawindo kumwi kabaimvwi a bwato 	16	8417	Female	toi	221205-155204_toi_b9a_elicit_6.wav
muntu mutengwana uuenda cakululama mubotu kwiinda muntu muvubi uupilingene 	16	11003	Male	toi	220912-191425_toi_97d_elicit_49.wav
ndakayinda chimfwanikiso chamusimbi ujisi masusu malanfu asiiya kumwi katolede kwaanza komwe muluwo 	16	9483	Female	toi	221207-211353_toi_b9a_elicit_49.wav
muntu uuleya munzi la yabusongo uyoolyokezya akati kabafu 	16	7191	Female	toi	221214-103945_toi_b9a_elicit_8.wav
bakaambilana umwi aumwi kumweenzinyina kuti ngooyo siziloto wasika 	16	8462	Male	toi	221011-170850_toi_308_elicit_20.wav
mutwe uuli amvwi munsini wabulemu ulajanwa munzila yabululami 	16	7055	Female	toi	221214-080256_toi_b9a_elicit_45.wav
mbuli mbuzikonzya kweenda ing ombe ambuli mbubakonzya kweenda bana mane nkasike kumwami wangu ku seiri 	16	7418	Male	toi	221011-160540_toi_308_elicit_5.wav
sikusobana cisobano cama honda amuzundano waloka ahonda yakwe alimwi ulaselumka ansi kakuli umwi uleezya kusyule 	16	10663	Female	toi	221212-125952_toi_b9a_elicit_2.wav
kunyina nyama pe alimwi mutani kusiki kuno kusambala 	16	3652	Male	toi	220829-210823_toi_0ae_elicit_1.wav
nobauma budima bamwi basiba nyeele 	16	2631	Male	toi	220829-123454_toi_0ae_elicit_17.wav
pele impindu yasizibi njiibusya bubi uubika moyo wakwe kululayo uli munzila yabuumi 	16	9869	Female	toi	221213-134611_toi_b9a_elicit_2.wav
cakulya kubantu mbotazyi 	16	1520	Male	toi	220825-172540_toi_0ae_elicit_10.wav
wapiluka kubeenzinyina wati mwana taciwo lino mebo njiinke kuli 	16	6783	Male	toi	221011-170850_toi_308_elicit_34.wav
aboobo leza wanyanzya matanga aausowanu wapa ndime 	16	5172	Female	toi	221230-210020_toi_b9a_elicit_22.wav
uuongelezeka ulazuminina makani oonse pele muntu uucenjede ulayeeya kabotu kweenda kwakwe 	16	9279	Female	toi	221213-153842_toi_b9a_elicit_12.wav
kandeke kasyonto kala uuluka mujulu kaka zuka busi 	16	5308	Female	toi	221213-094854_toi_b9a_elicit_9.wav
nindamwaambila wakavwila caalama ajwi litete alimwi ndimuzyibizyizye limwi kufwumbwa nomwaamba nzyomutiambe anguwe 	16	12342	Female	toi	221228-100948_toi_b9a_elicit_23.wav
mukaintu nakalindu usamide cisani cisalala a myengo ituba ujusi mwana wakwe usamide zisani zikozyana a zyakwe kali kumwetula kuti a fotolwe 	16	12364	Female	toi	221210-180127_toi_b9a_elicit_0.wav
wakabweza nkomeki akutila mukati amane waunka wakkala amupando 	16	5762	Female	toi	221228-175149_toi_b9a_elicit_0.wav
nibakazumanana kumubuzya mubelesi oyu wakacibikka atuba kuti ciindi bantu aba nibakasika 	16	13385	Male	toi	220907-201714_toi_97d_elicit_16.wav
utavuwi mufubafuba mbuli bufubafuba bwakwe kuti uteelani awe ayebo vuwa mufubafuba mbuli bufubafuba bwakwe 	16	15132	Male	toi	220916-183449_toi_97d_elicit_42.wav
balo beenzu bakati tuzwa kujwe kumunzi kwaniini 	16	3743	Male	toi	220829-210823_toi_0ae_elicit_10.wav
nkabela leya wakati ndajana lukondo nkaambo banakazi bazoondaamba kuti ngusilukondo aboobo wakamuulika izina lya aseri 	16	12047	Female	toi	221229-141356_toi_b9a_elicit_18.wav
lino wakanyampuka waya kulinguwe wasamununa intambala njakasamide wasama zyakusama zyabunabutema bwakwe 	16	12432	Male	toi	221011-174142_toi_308_elicit_18.wav
yaa twaka samba biyo tucitalika kulya moonga wakabuzya kuti ncisyunzi basa 	16	8439	Female	toi	221204-123335_toi_ee8_elicit_45.wav
bamaalumi botatwe bakkede mu ofesi omwe ulimvwi alimwi kajisi angoma 	16	5195	Female	toi	221213-105245_toi_b9a_elicit_16.wav
lino kuzwa kuciindi eco naakamubika kuti abe silutwe wang anda yakwe awazintu zyoonse nzyaakajisi 	16	10504	Male	toi	221011-174142_toi_308_elicit_39.wav
mwami wakakatazigwa kuti naa cakali kwaamba nzi eci 	16	4628	Female	toi	221228-144729_toi_b9a_elicit_18.wav
utayubununi makani aasisidwe aamuntu umbi ambweni uukuswiilila ulakuusya insoni 	16	13748	Male	toi	220916-181440_toi_97d_elicit_21.wav
jakobo mbwaakaswanaana a esau lino jakobo wakatambya meso aakwe 	16	9710	Male	toi	221011-153723_toi_308_elicit_38.wav
mpoonya cisuwo coonse cakavwula mapopwe 	16	2813	Male	toi	220829-121443_toi_0ae_elicit_17.wav
amutume umwi wanu kuti akete mwanike wanu pele nywebo mulaangwa 	16	6783	Female	toi	221230-203112_toi_b9a_elicit_28.wav
kumyaka iili myanda iili musanu aitatu alimwi wakazyala bana balombe abasimbi 	16	7781	Female	toi	221228-200327_toi_b9a_elicit_11.wav
pele musongo ulabukasya akubutontozya na mweendelezi waswiilila makani aalweeno 	16	15677	Male	toi	220916-164149_toi_97d_elicit_32.wav
balaa munzi balakasya kunjila bantu mulukwakwa kur kabatako 	16	7169	Female	toi	221228-184203_toi_b9a_elicit_18.wav
mbooletela mulandu mpamunya nkuseswa akulunga mpawo 	16	3652	Male	toi	220829-115108_toi_0ae_elicit_24.wav
masiku liya nelanga njide kuti musimbi ulaa maano biya 	16	4764	Female	toi	221204-133851_toi_ee8_elicit_47.wav
wakali kuya buzumbauzya kuti naa nguni unga wamuswaya ciindi cakumazuba 	16	8734	Female	toi	221228-162240_toi_b9a_elicit_45.wav
mwaalumi uusamide bulukwe busiya utanta bwaanda bwamabwe 	16	4945	Female	toi	221212-121357_toi_b9a_elicit_19.wav
lyoonse notucita mulimo wesu kuli zintu zyobilo nzyotubona 	16	7418	Male	toi	220912-174208_toi_97d_elicit_41.wav
a mwana muna asia baimikila kufotolwa kabalangide ku malundu azwide zisamu 	16	7554	Female	toi	221210-184158_toi_b9a_elicit_3.wav
wakavuwa kuti ndayandaula bakulana bangu wence undaambile na baleembelelai 	16	8802	Male	toi	221011-170850_toi_308_elicit_17.wav
mukaintu watola cibbubbu mukaanda kajisi nkendulu zyotatwe mbuli umbi mukaintu ujisi gilazi yawaini mbwaanyamuna kuboko 	16	10821	Female	toi	221205-133657_toi_b9a_elicit_44.wav
bamane nkubwezelela aali kutyoka nkuleta kumunzi 	16	3743	Female	toi	221204-133851_toi_ee8_elicit_11.wav
mebo nsielede abuniini milimo yako yaluzyalo ayalusyomo njowandicitila ndemulanda wako 	16	11094	Male	toi	221011-153723_toi_308_elicit_6.wav
bakaamba kale kuti mwanaa nsya lyoonse ufwida kucizyalilo 	16	3924	Male	toi	220829-113431_toi_0ae_elicit_24.wav
atunyamuke tuye ku beteli nkayake cipaililo cibe ca leza oyo iwakandivuwa mubuzuba bwamafwabi aangu iwakandisindikila mukweenda kwangu koonse 	16	16198	Male	toi	221011-163041_toi_308_elicit_4.wav
bali ankamele zyabo ziyumwide zilisyo amisamu atununkilizyo balaya kuzisambala ku egepita 	16	15041	Male	toi	221011-170850_toi_308_elicit_28.wav
nkaambo imbono tazikalilili lyoonse amunsini tuuli kumazyalani oonse bwizu bwamana kuligwa mweemvwe ulamena 	16	18603	Male	toi	220912-191425_toi_97d_elicit_41.wav
antela musankwa uubba naba musimbi ulaa maafwa 	16	3584	Male	toi	220829-204606_toi_0ae_elicit_13.wav
babwa bobilo aaba bali anze kakuli omwe uli ansi alimwi umwi ulasotooka mumuuya kubweza bbola 	16	7214	Female	toi	221213-112404_toi_b9a_elicit_10.wav
kubusyu bwanu boonse biyo abauka bayavula ansi answi zyamulwizi baabwa mumaanza 	16	10368	Female	toi	220904-190848_toi_0ae_elicit_26.wav
kuciindi cakusekelela bantu bajisi zyizo zyikozyenye boonana mucisi ca asia bamwi bantu balajatilila dembela mujulu kutondezya lugwasyilizyo kuli mbabo 	16	12614	Female	toi	221230-132542_toi_b9a_elicit_10.wav
yaa nkumutambula biyo bakaintu mpamunya nkukajwa 	16	4083	Male	toi	220829-121443_toi_0ae_elicit_43.wav
boonse bamakaintu mbaakakwatilila banabakwe bakali lomene 	16	6216	Female	toi	221228-095833_toi_b9a_elicit_41.wav
wence kondivuna kuzwa kumaanza aamukulana wangu kuzwa kumaanza aa esau nkaambo ndamuyoowa 	16	3471	Male	toi	221011-153723_toi_308_elicit_8.wav
teecakalampa ciindi zyintu zyakatalika kulibonya 	16	3970	Female	toi	221205-195949_toi_ee8_elicit_45.wav
mung anga uuli woonse nkobakamutola kwategwa namoonga wakala cibinde 	16	6397	Female	toi	221228-124509_toi_b9a_elicit_32.wav
bakabona bana basimbi babantu kuti mbabotu nkabela bakakwata kufumbwa mbobakali 	16	9324	Female	toi	220904-182522_toi_0ae_elicit_9.wav
ino webo wakacilekela nzi kuti cicitike haatimba kayi taku mbundakali kukonzya kucigwasya 	16	9075	Female	toi	221228-145629_toi_b9a_elicit_24.wav
ulabeteka makani aabo kulinduwe bika moyo wako kululayo akucenjeka kutwi kwako kumajwi aaluzibo 	16	9732	Female	toi	221214-090248_toi_b9a_elicit_15.wav
kuzwa mulukwakwa akunjila mumugwagwa mupati wakaswa mate naakasika munsi aamulyango walukwakwa 	16	13181	Male	toi	220912-165131_toi_97d_elicit_17.wav
muli amulandu wakwiindilizya kubalisya mootokala wakaamba mupulisa 	16	9324	Male	toi	220912-165131_toi_97d_elicit_33.wav
caalama wakasoka kuwayawaya amane wakamupa bbodela lyabukoko 	16	5513	Female	toi	221228-181007_toi_b9a_elicit_18.wav
maulu aacilema alalengelela buyo mbukabede kasimpi mumilomo yabafubafuba 	16	12047	Male	toi	220912-191425_toi_97d_elicit_1.wav
ambeyo ndayanda kuli katukkala mukukkomana aluumuno 	16	6125	Female	toi	221228-181007_toi_b9a_elicit_48.wav
uusampaula mweenzinyina ngusizibi pele uli acoolwe uufwida bacete luzyalo 	16	8507	Female	toi	221213-153842_toi_b9a_elicit_18.wav
bamaalumi bone bobilo kajisi magita balsobana kumbele lyabantu banji kumwi bantu bambi kabatambikide maanza akulangililzya 	16	12886	Female	toi	221207-150000_toi_b9a_elicit_11.wav
kwaamba boobo mudaala wakazwa waunka caalama wakasintama akutalika kulila 	16	8916	Female	toi	221228-100948_toi_b9a_elicit_38.wav
aboobo rakele wakafwa nkabela wakazikwa munzila yaku efrata ngonguwo betelehemu 	16	12500	Male	toi	221011-163041_toi_308_elicit_24.wav
kabasaanyina nowa wakali kweenda a leza nkabela nowa wakazyala bana botatwe semu hamu a jafeti 	16	12773	Female	toi	220904-182522_toi_0ae_elicit_19.wav
mulombwana ucita tiliki acinga mujulu 	16	3516	Female	toi	221213-111359_toi_b9a_elicit_6.wav
mwaalumi uusotooka mabwe kumbele kwameenda 	16	3720	Female	toi	221213-093545_toi_b9a_elicit_14.wav
alimwi ndajava a dakuungila uutegwa mutelampondo mujayi uuluulwa nkaaambo nguwanyonyaula caalama 	16	17787	Male	toi	220912-174208_toi_97d_elicit_24.wav
alimwi wakati bona uzibe na nzizyani zintu ezi cinamatizyo antambo amusako 	16	9869	Male	toi	221011-174142_toi_308_elicit_26.wav
wakali kulibambila kulanga babwa kuti naa babuka aboobo wakalicizyi cindi nibakasika 	16	10844	Male	toi	220907-201714_toi_97d_elicit_15.wav
malili aampongo alakuvulila alaba zilyo zyabasing anda bako akulela bana bako basimbi 	16	9324	Female	toi	221214-095919_toi_b9a_elicit_31.wav
muntu ulazyana ambwe mpati munsi munsi abusena bujisi zisamu 	16	4787	Female	toi	221212-120347_toi_b9a_elicit_8.wav
bulowa mumutwe bwakali kwiile kweenda mbuli meenda aasiciduunta nkombo naakabona 	16	8280	Female	toi	221228-180049_toi_b9a_elicit_13.wav
wakabaambila zyoonse bamadaala bajayi bako kabataninga mujaya 	16	8802	Male	toi	220912-160501_toi_97d_elicit_0.wav
ikabunga kabantu banji baleendeenda mumugwagwa uli mumunzi kabali kusyule amoota kakuli omwe weenda amaulu 	16	8417	Female	toi	221230-123721_toi_b9a_elicit_3.wav
kankala kachikuwa kamushobo utuba alimwi a nkwiki nkwiki kalasubana a kankala kambi kala masusu abbulungene kamushobo utuba 	16	13862	Female	toi	221207-175250_toi_b9a_elicit_8.wav
walo mweenzinyina wakavuwa 	16	2382	Female	toi	221203-172224_toi_ee8_elicit_13.wav
sikubamba lubulo ulabeleka kumwi kasamide zyisani zyakulikwalizya 	16	8394	Female	toi	221205-142705_toi_b9a_elicit_15.wav
ibbiza lisiya siya linunsya nunsya nsingo yamukaintu mbuli masusu aakwe mbwaaululuka 	16	7940	Female	toi	221207-145254_toi_b9a_elicit_6.wav
amufubafuba ulaba muzike wamusongo micelo yabaluleme musamu wabuumi 	16	8349	Female	toi	221213-134611_toi_b9a_elicit_44.wav
nibakajoka kuzyila kukulunduka nindakajalula ndakajana kwiimvwi bobilo 	16	9097	Male	toi	220907-201714_toi_97d_elicit_9.wav
sa ncibotu kunyanzigwa bulo bwako utasunzululi munyinza wakale ngobakabika bamauso 	16	18581	Male	toi	220916-174104_toi_97d_elicit_34.wav
