sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
alimwi abulukwe ubooneka abenka uloona acuuno ane an ganda munsi munsi acintu cabukwabilizyi cisubila subila cizikidwe mabala ouvert 	16	13544	Female	toi	221212-144505_toi_b9a_elicit_11.wav
wakaamba mudaala chiingabacende aj wi liyubumuna bukali cileke kusobana tatuli waano akusowa cindi anduwe 	16	13249	Female	toi	221228-095833_toi_b9a_elicit_11.wav
alimwi kufumbwa nzondipa ncobeni njooboozya cipanzi cakumi cazyo kulinduwe 	16	13589	Female	toi	221229-150312_toi_b9a_elicit_27.wav
josefa kali amyaka iili makumi otatwe naakanjila mumilimo kuli farao mwami wa egepita 	16	8099	Male	toi	221011-181531_toi_308_elicit_45.wav
wakali kulibambila kulanga babwa kuti naa babuka aboobo wakalicizyi cindi nibakasika 	16	10844	Male	toi	220907-201714_toi_97d_elicit_15.wav
abacibanda babo nzifulo balalya bacete ansi balamanisya batengwana akati kabantu 	16	13204	Male	toi	220916-171743_toi_97d_elicit_13.wav
muntu wapenga lyoonse nguuyendela mweenzinyina 	16	2790	Male	toi	220825-180654_toi_0ae_elicit_40.wav
wakajula izyalilo lyakwe pele rakele kali musundi 	16	4741	Female	toi	221229-142606_toi_b9a_elicit_45.wav
aciba biyo acibbililo cazuba wakasika kumunzi 	16	3312	Male	toi	220829-121443_toi_0ae_elicit_42.wav
nkaambo wakati jehova ulibwene mapenzi aangu ncobeni mulumaangu ulandiyanda lino 	16	7441	Female	toi	221229-142606_toi_b9a_elicit_47.wav
muntu uusamide nzyeete lin gaima jansi ayalo in gaima a bulukwe ulisinteme ansi 	16	9937	Female	toi	221210-184833_toi_b9a_elicit_3.wav
tee kayi ulaazyi kabotu kabotu makani kuti wakabeja 	16	6329	Female	toi	221228-162240_toi_b9a_elicit_18.wav
abana ba hamu mbaaba kusi a mizraimu a puti a kanana abana ba kusi mbaaba seba 	16	14928	Female	toi	220904-192446_toi_0ae_elicit_17.wav
bamaalumi bobila bayoka nyama ambaula kumwi mwana musimbi kasobana 	16	5853	Female	toi	221230-122753_toi_b9a_elicit_12.wav
mwaalumi uusamide sikipa yamubala usiya waabanya cimwi cintu kukabunga kabasimbi bakkede acuuno cacipulanga 	16	11048	Female	toi	221205-160542_toi_b9a_elicit_26.wav
kuyanda akati kabo mpawo jehova wakaamba kuti muuya wangu tuukooyookazyanya 	16	9347	Female	toi	220904-182522_toi_0ae_elicit_10.wav
mukanitu usamide cisani ci siya siya ulakuma kalizyo ka moya kumbele a bantu a mwalumi usamide cituba ulakuma harmonica alimwi aumbi uma bbanjo 	16	12773	Female	toi	221210-174855_toi_b9a_elicit_5.wav
mubwa uusiya utandaanya mubwa umbi uusiya ujisi bbola 	16	4900	Female	toi	221205-204405_toi_b9a_elicit_21.wav
jehova mubusongo bwakwe wakabika intalisyo zyanyika abupampu bwakwe mbobwakaimika ijulu 	16	8303	Female	toi	221213-114114_toi_b9a_elicit_34.wav
mwaalumi uusamide bulukwe bwa cikambwe asikipa ya cikambwe ulikkede acincini cakuwacha zisani kasanzya mpulungwido 	16	11752	Female	toi	221213-094854_toi_b9a_elicit_11.wav
ootu twaano mubbaibbele twelede kupegwa anyika yonse kubana bali one point eight mabilyoni nakacikozyeka 	16	8961	Female	toi	221228-191455_toi_b9a_elicit_2.wav
uusya cilindi ulawida mulincico uukunkulisya ibbwe lilamupilukila 	16	13657	Male	toi	220912-191425_toi_97d_elicit_19.wav
kakanjila mbuli kuti wauma atala aacitende cakabola 	16	4855	Female	toi	221228-190711_toi_b9a_elicit_7.wav
bamaalumi botatwe baimvwi masiku munsi munsi a moota usiya munsi amayusilo azwide ncinga 	16	8280	Female	toi	221230-133110_toi_b9a_elicit_14.wav
elyo ciindi cakufwa kwa israyeli nicakasika kufwaafwi wakaita mwanaakwe josefa wamwaambila kuti 	16	7078	Female	toi	221230-151048_toi_b9a_elicit_5.wav
sizibi ulajana zyakuvola zyalweeno pele uubyala bululami ulajana impindu iitamani 	16	11706	Female	toi	221213-134611_toi_b9a_elicit_32.wav
muntu usamide ngowani iboneke mbuli koni uli akwenda munzila a ma bbeke manji 	16	5921	Female	toi	221210-172122_toi_b9a_elicit_37.wav
haatimba tanaakaninga salazigwa ono ngooyu mudolopo wabwezela musimbi 	16	7645	Female	toi	221228-105726_toi_b9a_elicit_37.wav
mwaalumi amwana musimbi cakukkomana bayimikila kufwotolwa kumusyika kumbele acikkocci cabo 	16	7441	Female	toi	221230-133110_toi_b9a_elicit_4.wav
uuololokede munzila yakwe ulasesemya basizibi ngaaya majwi aa aguri mwana wa jake cilengano 	16	13725	Male	toi	220916-164149_toi_97d_elicit_48.wav
bana botatwe bakkede acizyuumbwe muvwanda kali akati 	16	6057	Female	toi	221205-155204_toi_b9a_elicit_7.wav
jakobo mbwaakayaka cipaililo caku beteli lino leza wakaambila jakobo kuti 	16	9392	Male	toi	221011-163041_toi_308_elicit_1.wav
ulu cibomba kudinkila ndiza inga limwi balatupa 	16	4764	Male	toi	220824-212101_toi_0ae_elicit_49.wav
ngwani uuli ankondo ngwani uuli akutongauka ngwani uuli amibunda katakwe kaambo 	16	13907	Male	toi	220916-181440_toi_97d_elicit_6.wav
swiilila mwanaangu ujate busongo enzya moyo wako munzila utakali akati kabacakolwa 	16	12069	Male	toi	220916-174104_toi_97d_elicit_49.wav
wabuka mutelampondo wakaanzya muluwayile kumwi kaseka seka haamwaandwe 	16	12069	Male	toi	220912-160501_toi_97d_elicit_38.wav
bakaunka bakasike bakabajana basimbi babo mbaaba 	16	5104	Female	toi	221204-133851_toi_ee8_elicit_29.wav
nkamu yabantu baimvwi kumbele kwa kanta yakusambalila zyakulya akuula zimwi zintu 	16	6012	Female	toi	221212-120347_toi_b9a_elicit_14.wav
jakobo wakavuwa kuti taanguna kunduuzizya bupati bwako esau wakati langa 	16	7940	Female	toi	221230-115905_toi_b9a_elicit_50.wav
kuti zizyalane akati kanti pele tudandala twambelele taakwe naakatubikila inti pe aboobo tudandala twakaba twa labani zitulumuka zyakaba zya jakobo 	16	14860	Female	toi	221230-210020_toi_b9a_elicit_10.wav
mukaintu usamide cisani cibotu cuubauba ukkede amamntilo acipulanga mpoonya ubala mulembi waku brazil coelbo 	16	12228	Female	toi	221230-121748_toi_b9a_elicit_15.wav
atweende tumusambale kuba ismayeli pele tutamutambiki maanza esu nkaambo ngumwanike wesu ninyama yesu nkabela beenzinyina bakamuswiilila 	16	14814	Male	toi	221011-170850_toi_308_elicit_30.wav
elyo wakati utatandabiki ijanza lyako kumwana nikuba kumucitila cintu 	16	5876	Female	toi	221228-201041_toi_b9a_elicit_12.wav
pele oyo uuyandaula bubi bulamweenzya uusyoma buvubi bwakwe ulawa 	16	8122	Female	toi	221213-134611_toi_b9a_elicit_42.wav
elyo bakatumina josefa mulazyo wakuti uso naatakalina kufwa wakalailila kuti 	16	6420	Female	toi	221230-144601_toi_b9a_elicit_22.wav
bantu balalya mukafiteliya ijisi imutanda wacipulanga aciluli ca gilazi 	16	5626	Female	toi	221230-121748_toi_b9a_elicit_39.wav
sikujika ulakujika zyakulya zya mwalumi usamide cisani ca nyanzabili 	16	6284	Female	toi	221210-153407_toi_b9a_elicit_7.wav
koza nkutume kulimbabo wakavuwa kuti ndaya wakamwaambila kuti mbubo koya 	16	9120	Male	toi	221011-170850_toi_308_elicit_13.wav
mubwa usiya siya usamikidwe bulimbo bwa cikakambwe alimwi a bulimbo bwa mungungawaji kusule lyakwe 	16	8303	Female	toi	221210-154439_toi_b9a_elicit_21.wav
takanaba kaindi bapati bakaleta musalo wabazvana masiku 	16	5445	Female	toi	221203-121206_toi_ee8_elicit_11.wav
lino bweedezezya muntu mwanakazi wakwe nkaambo mulunguzi uyookukombela aboobo uyoopona 	16	11547	Female	toi	220929-202615_toi_97d_elicit_24.wav
nekubaboobo zimane biyo kuzilya teekwakazibwa kuti zyazilya pe nkaambo ziwa zyezyo zyakacili zibi mbubonya mbozyakabede akutaanguna elyo ndakasinsimuka 	16	26181	Male	toi	221011-181531_toi_308_elicit_15.wav
kukala acooko cakulululi lwang anda nkubotu kwiinda kukala amwanakazi silwaambwe mung anda impati 	16	10141	Female	toi	221214-084847_toi_b9a_elicit_13.wav
sikuyamba mu cisani cisiya wayamba a mayuwe 	16	4628	Female	toi	221210-182954_toi_b9a_elicit_24.wav
mpawo wakati njila webo opedwe coolwe kulijehova nkaambonzi noima anze 	16	6375	Female	toi	221228-203310_toi_b9a_elicit_8.wav
kumwi sikusambala uusamide kalembo kakukutaukila asikipa yamulotwe wamupa kapulasitiki katakwe ncokajisi 	16	12001	Female	toi	221205-213559_toi_b9a_elicit_7.wav
musankwa uusamide zysani zyisubila zyabbola ujisi mabbusu aakwe kumaanza kumwi kaseluka kuzwa mumoota 	16	11094	Female	toi	221205-124826_toi_b9a_elicit_11.wav
ulabeteka makani aabo kulinduwe bika moyo wako kululayo akucenjeka kutwi kwako kumajwi aaluzibo 	16	9732	Female	toi	221214-090248_toi_b9a_elicit_15.wav
caalama wakaliyumya yumya kuti balangane a haamwaandwe 	16	5013	Female	toi	221228-162240_toi_b9a_elicit_9.wav
wence kondivuna kuzwa kumaanza aamukulana wangu kuzwa kumaanza aa esau nkaambo ndamuyoowa 	16	3471	Male	toi	221011-153723_toi_308_elicit_8.wav
ncobeni taakwe milimo kuteya kakole mumeso aamuyuni pele bantu aba balalindila bulowa bwabo beni basi jate buumi bwabo beni 	16	14020	Female	toi	221213-113324_toi_b9a_elicit_14.wav
aboobo esau wakaakukala munyika yazilundu zya seiri esau ngonguwe edomu 	16	8643	Male	toi	221011-163041_toi_308_elicit_44.wav
uyooendelezya ing anda yangu abantu bangu boonse baleelede kulibamba mbubonya mboamba mubwami luzutu njooba mupati kwiinda nduwe 	16	13703	Male	toi	221011-181531_toi_308_elicit_35.wav
kunyina muntu uyanda kuleta caali mulandu nafubaala 	16	3380	Male	toi	220829-115108_toi_0ae_elicit_18.wav
pele musongo ulabukasya akubutontozya na mweendelezi waswiilila makani aalweeno 	16	15677	Male	toi	220916-164149_toi_97d_elicit_32.wav
umwi mukaintu waakwetwe mumaali wakacita kuti 	16	3516	Female	toi	221203-172224_toi_ee8_elicit_7.wav
ceo taci kooyooyeeyegwa limbi munyika nkaambo kanzala iiyoosyaalila nkaambo iyoobija loko 	16	10322	Male	toi	221011-181531_toi_308_elicit_26.wav
a mwana muna asia baimikila kufotolwa kabalangide ku malundu azwide zisamu 	16	7554	Female	toi	221210-184158_toi_b9a_elicit_3.wav
alimwi wazyalila jakobo mwana wabili nkabela rakele wakaamba kuti ndazundana 	16	7101	Female	toi	221229-141356_toi_b9a_elicit_12.wav
pesi nabindide antela napengede tasali pe 	16	3584	Male	toi	220829-210132_toi_0ae_elicit_36.wav
kuli musankwa pesi uubeleka kwakwe oyu musankwa masiku inga uleendeenda kulonda munzi 	16	9301	Female	toi	221228-155549_toi_b9a_elicit_9.wav
basabkwa bobilo basamide magiloovu aatuba alimwi kabali mwakulwanina 	16	6171	Female	toi	221212-091650_toi_b9a_elicit_48.wav
bamaalumi bobbilo boolola maulu musyokwecaanda nkocivwumbide vwumbide nyika 	16	7101	Female	toi	221230-133110_toi_b9a_elicit_8.wav
ulafwamba kunyonyooka cakutabuka alimwi na baluleme basumpulwa bantu balasekelela 	16	12954	Male	toi	220916-164149_toi_97d_elicit_23.wav
mwana uusamide delesi lisubila utanta matantilo a ng anda kunjila 	16	5104	Female	toi	221230-144601_toi_b9a_elicit_36.wav
balaa munzi balakasya kunjila bantu mulukwakwa kur kabatako 	16	7169	Female	toi	221228-184203_toi_b9a_elicit_18.wav
kotana likombya kamwale wakaamba kalinda kumwi kanyamuka 	16	4877	Female	toi	221228-175149_toi_b9a_elicit_7.wav
njoobapambula muli jakobo akubamwaisya muba israyeli juda ibanyoko bayookutembaula 	16	8530	Female	toi	221230-145947_toi_b9a_elicit_26.wav
majwi aakulisumpula taelede mufubafuba amilomo yakubeja tiielede mwami 	16	8212	Female	toi	221214-081355_toi_b9a_elicit_4.wav
aboobo kwakaba igoko alimwi kwakaba cifumo buzuba bwabili 	16	6602	Female	toi	221228-191455_toi_b9a_elicit_26.wav
pesi tunji tunji cijanika kuti inga alimwi wamujokelela namalelo 	16	4991	Male	toi	220829-113431_toi_0ae_elicit_5.wav
ooyu nguwakali mwana alimbabo boonse 	16	4083	Female	toi	221228-190711_toi_b9a_elicit_23.wav
teecakalampa ciindi zyintu zyakatalika kulibonya 	16	3970	Female	toi	221205-195949_toi_ee8_elicit_45.wav
mubwa uuitwa kuti german shepherd ulabalika akasamu mumulomo 	16	4741	Female	toi	221212-121357_toi_b9a_elicit_13.wav
aboobo tabayandi kunyonganyizigwa ino ndunywe bani nomukanana 	16	8938	Male	toi	220912-160501_toi_97d_elicit_34.wav
nkabela farao wakati mbubo inka ukavwike uso mbubonya mbwaakakukonkezya 	16	6897	Female	toi	221230-144601_toi_b9a_elicit_10.wav
nkaambo ncibotu kwaambilwa kuti swena okuno kwiinda kufwinsigwa kumeso aamweendelezi 	16	14225	Male	toi	220916-181440_toi_97d_elicit_18.wav
jakobo mbwaakasika kuli labani mbwaakakwata leya a rakele 	16	5127	Female	toi	221229-142606_toi_b9a_elicit_0.wav
mwana muna afulika usoleka kwiimikila amaanza kumbele abwato buli mumeenda munsi amuunda wazyisyango bupentedwe mubala uutuba awacikambwe 	16	13589	Female	toi	221205-212020_toi_b9a_elicit_3.wav
bana basamkwa bobilo bakuwa bala kutijina kuzwa mu mushenga kuya mulwizi 	16	7895	Female	toi	221210-151232_toi_b9a_elicit_5.wav
aa haamwaandwe wabaa nzi sena wamuluba biya muntu ngotuunkila uyceya kuti inga wabaa opesi ibujula 	16	12137	Female	toi	221228-151724_toi_b9a_elicit_0.wav
mutwe uuli amvwi munsini wabulemu ulajanwa munzila yabululami 	16	7055	Female	toi	221214-080256_toi_b9a_elicit_45.wav
amwaambe luselo lunji azipo zinji mbubonya mbuli mbumuyanda njoomupa ncomwaamba pele amundipe musimbi mukwate 	16	20123	Male	toi	221011-160540_toi_308_elicit_26.wav
basikusobana zisobano bobilo basamide mayunifoomu balasobana mumuzundano amwaalumi wankamu yabasikuzundana imwi 	16	9687	Female	toi	221213-083947_toi_b9a_elicit_17.wav
ino kayi nkooko tumvwane wita ongaye mbwaanga swebo ncuulu biyo comwe wakabuzya lwando 	16	9664	Female	toi	221228-155549_toi_b9a_elicit_25.wav
mpawo wakabamba cikobela cakwe kulinguwe mane simalelo wakwe asike kung anda 	16	8371	Male	toi	221011-180320_toi_308_elicit_3.wav
kaba kaintu cilabunda akwalo bamwi baleka bakaintu 	16	4719	Male	toi	220829-123454_toi_0ae_elicit_29.wav
mukaintu ulikkede munsi a muzela wa maluba luba kalanga mumugelo 	16	6261	Female	toi	221210-144827_toi_b9a_elicit_18.wav
kwasika kaambyo kabelesegwa 	16	1905	Male	toi	220825-174423_toi_0ae_elicit_9.wav
alimwi ulya taasyi inga wapenganzi alwilyo loonse olo kufwumbwa ngooyanda 	16	8734	Female	toi	221228-104522_toi_b9a_elicit_15.wav
bantu bone basobana bbola munsi munsi amulonga kakuli makumbi manji kujulu 	16	6125	Female	toi	221213-094854_toi_b9a_elicit_13.wav
kabunga kabantu basikweenda balalyookezya ansi kumbele amulundu 	16	5082	Female	toi	221230-123721_toi_b9a_elicit_49.wav
kuli bantu bone alimwi amubwa basotooka cilindi camibala iisiya yamungunga waji alimwi iituba 	16	8643	Female	toi	221213-093545_toi_b9a_elicit_49.wav
buli mbuli bweema bwamuunda jehova ngwaalongezya leza akupe mume wakujulu 	16	7305	Female	toi	221230-113547_toi_b9a_elicit_39.wav
ambweni ulakutuka elyo ulajana mulandu bantu bamwi nkobali batukila bamawisi 	16	13862	Male	toi	220916-171743_toi_97d_elicit_9.wav
basikulyana batondenzya balakusona kulyana ku mbunga ilakulangilizya chakumaninina 	16	9596	Female	toi	221207-182835_toi_b9a_elicit_37.wav
aaka kaambyo takaambi maulu aalo pe kaamba zinji 	16	3970	Male	toi	220824-212101_toi_0ae_elicit_16.wav
mukaintu uusamide sikipa iisiya utondzya mwaalumi uusamide sikipa yamyeengwe cimwi cintu mucitondezyo 	16	7260	Female	toi	221212-130445_toi_b9a_elicit_16.wav
mulonga nouba munzi wabantu mpaakali kukonzya kujana meenda 	16	3539	Male	toi	220825-172540_toi_0ae_elicit_4.wav
kumeso amane alimwi wakatalika kumukwela masusu kuzinguluka tebule 	16	7033	Female	toi	221228-175149_toi_b9a_elicit_45.wav
imwaalumi ulilede amunseme akati moota uusiya siya utegwa suv amoota wamubala wamungunga waji muciyobwedo camyoota 	16	10345	Female	toi	221230-124807_toi_b9a_elicit_6.wav
cakulya kubantu mbotazyi 	16	1520	Male	toi	220825-172540_toi_0ae_elicit_10.wav
tocizi wakasandula ncovamba pai va 	16	5104	Female	toi	221214-101722_toi_b9a_elicit_13.wav
ha yabota minimba yakaya kuli lukumba niyakaya kuli 	16	4287	Male	toi	220829-123454_toi_0ae_elicit_38.wav
elyo kusule lyayeeyo kuyoosika myaka iili musanu aibili yanzala ceo coonse ciyoolubwa munyika ya egepira nkaambo inzala iyoomanisya nyika 	16	14270	Male	toi	221011-181531_toi_308_elicit_25.wav
mpawo esau wakanyampuka mubuzuba obo mbubonya kuti apiluke ku seiri 	16	6602	Male	toi	221011-160540_toi_308_elicit_7.wav
mwezi oyu nceciindi batonga nobaamba kuti mpaatusuku tuce nkaambo inga misuku yamapopwe icili mice 	16	9460	Female	toi	220828-202103_toi_707_elicit_32.wav
kuli beelela guwo kubbubbula 	16	1746	Male	toi	220825-174423_toi_0ae_elicit_8.wav
una kubelekela bantu bobilo uulya uli mwida awalo diogwa neuwako kale nkaambo wakazumina kukwata banyina 	16	11298	Female	toi	221228-145629_toi_b9a_elicit_38.wav
tozyi sena kuti kuti kwaba caba kumukaintu wako inga bakutola kunkuta 	16	8144	Female	toi	221228-124509_toi_b9a_elicit_20.wav
bumama taata ndijwi pati libike mumoyo 	16	3834	Female	toi	220912-144621_toi_707_elicit_25.wav
akucenjeka kutwi kwako kumajwi aaluzibo utakaki kukoma mwana na wamuuma amusako takoofwa pe 	16	16834	Male	toi	220916-174104_toi_97d_elicit_44.wav
sikusobana cisobano cama honda amuzundano waloka ahonda yakwe alimwi ulaselumka ansi kakuli umwi uleezya kusyule 	16	10663	Female	toi	221212-125952_toi_b9a_elicit_2.wav
alakwe wisi nzeezi nzyaakamutumina imbongolo zili ikumi ziyumwide zintu zibotu 	16	9869	Female	toi	221230-160247_toi_b9a_elicit_14.wav
caalama wakasoka kuwayawaya amane wakamupa bbodela lyabukoko 	16	5513	Female	toi	221228-181007_toi_b9a_elicit_18.wav
elyo jakobo wakasyaala alike nkabela kwakeza muntu kuzoosinana awe masiku oonse mane kubucedo 	16	11956	Male	toi	221011-153723_toi_308_elicit_27.wav
imwwalumi ulaamanela upenta ng anda yakubikkila zintu zyamasiteya 	16	6420	Female	toi	221230-131936_toi_b9a_elicit_22.wav
wakali mwana wakazwa mung anda mvwumbe caalama a haamwaandwe bakayandana akuzuminana 	16	11071	Female	toi	221228-095833_toi_b9a_elicit_48.wav
mwana musimbi uusamide cisani camyeengwee iisubila subila ula sotooka sotooka abulo 	16	7078	Female	toi	221213-103202_toi_b9a_elicit_4.wav
antela amutubweze baama twasweeka balo balabuzya nkotuya 	16	5150	Male	toi	220829-204606_toi_0ae_elicit_8.wav
nkombo naakacili kuzibauka mbuli ciyuni nocizyala bana 	16	6148	Female	toi	221228-175149_toi_b9a_elicit_48.wav
mbwabede muntu uuena mweenzinyina akwaamba kuti ndasekana buyo 	16	8621	Male	toi	220912-191425_toi_97d_elicit_12.wav
banamutekenya bobillo beenzya moota uubambidwe bwaandeene 	16	6216	Female	toi	221207-144416_toi_b9a_elicit_22.wav
musankwa uusamide sikipa yamubala wacikambwe ulamweta mweta mbuli mbwakkala kumwi kajisi cidooli cisubila 	16	11933	Female	toi	221205-142705_toi_b9a_elicit_5.wav
haatimba wakali kuyanda kwa masyikati bakeelede kupegwa habwa bakwe kabapegia 	16	9823	Female	toi	221228-183113_toi_b9a_elicit_49.wav
mwaalumi uusotooka mabwe kumbele kwameenda 	16	3720	Female	toi	221213-093545_toi_b9a_elicit_14.wav
ncibotu kukala munyika yacimpayuma kwiinda kuba amwanakazi silubweko 	16	7986	Female	toi	221214-084847_toi_b9a_elicit_23.wav
pesi eli izyina tabalizyi bantu banji neotweelede kuzyiba neakuti mwezi oyu izyina ibbotu ndilya mukubwe kaangala 	16	14678	Female	toi	220903-202609_toi_707_elicit_32.wav
mwaalumi uusamide zyisani zyigambya ulikkede acuuno camulubuwa lusyangidwe syokwe munsi munsi a cintoolo ca ben alimwi a jerry 	16	11434	Female	toi	221205-163057_toi_b9a_elicit_7.wav
nkabela jakobo wakasika kabotu kumuni wa sekemu munyika yakanana naakazwa ku padanaramu wakayaka zilao zyakwe kunembo lyamunzi 	16	20872	Male	toi	221011-160540_toi_308_elicit_9.wav
lino kuya waya nkaambo kakuti moyo wako kuusukeme ing anda yauso pele nkaambonzi nowabba baleza bangu 	16	12568	Male	toi	221011-123458_toi_308_elicit_1.wav
pele inywe nobamwi kamuya aluumuno kuli usowanu 	16	5082	Female	toi	221230-161409_toi_b9a_elicit_19.wav
mwaalumi uuli muyuniffomu amagilzi aasiya ulimvwi kunze kwa mwaalumi uusamide sikipa iiisubila alimwi anzyeete uukkede ansi 	16	11888	Female	toi	221213-103202_toi_b9a_elicit_11.wav
relyo muntu wakalumba biyo kapati cinicini 	16	3335	Male	toi	220829-121443_toi_0ae_elicit_29.wav
imbono ziyandika zilakala mung anda yamusongo pele muntu mufubafuba ulazimwayaula 	16	13136	Male	toi	220916-174104_toi_97d_elicit_0.wav
bobile mboli abo kuti utasyukuti mumilandu yamunzi lino naakacili kuzyozyoka bantu 	16	12296	Female	toi	220929-200958_toi_97d_elicit_24.wav
ibana bashonto bobilo bali mumabbusu anyanzabili baleenda munzila yamudolopo kakuli umwi mukaintu mukando usamide mabbusu asiya ulabatobela 	16	10527	Female	toi	221207-165029_toi_b9a_elicit_35.wav
bamwi bacembele bakandaambila kuti oyu mwezi wakau hkwa izyina eli nkaambo masamu amwi naatalika kubika mateo elyo aya mateo ac i manlini 	16	15404	Female	toi	220903-234119_toi_707_elicit_43.wav
mwana musimbi mushoonto antoomwe amulombe kabali muzizwaato zyakuyambila balasobana mumuseenga kubbuwa lyameeenda 	16	11275	Female	toi	221207-165029_toi_b9a_elicit_41.wav
wakwe kuti nsikooyootuka limbi nyika nkaambo kabantu pe nkaambo miyeeyo yamoyo 	16	7781	Female	toi	221214-102741_toi_b9a_elicit_18.wav
sikusotoka ulakuzuza kuya munsi a ka po kakulibonya makumbi a cikambwe a tuba a tala 	16	8598	Female	toi	221210-172122_toi_b9a_elicit_15.wav
ulya kakololo kuli ncaakacita kumusimbi cakapa kuti afwambaane kuzumina kukwatwa kuli nguwe 	16	11139	Female	toi	221228-102126_toi_b9a_elicit_49.wav
sena kuli uuya kukuvuna taaku pe 	16	2586	Male	toi	220825-172540_toi_0ae_elicit_33.wav
munsyundu ulijisi bana basimbi bobile balati kopa kopa nkozili zintu zyotatwe zitakuti 	16	12999	Male	toi	220916-171743_toi_97d_elicit_14.wav
elyo nobaseswa baya balimbwa mulandu 	16	2563	Male	toi	220825-174423_toi_0ae_elicit_14.wav
josefa mbwaakaba mweendelezi wa egepita lino aya majwi akabota mumeso aa farao amu meso aabalanda bakwe boonse 	16	13022	Male	toi	221011-181531_toi_308_elicit_32.wav
kanji mumanyuzipepa tulajana kuleezegwa mbulimbokulimwa ambuli mbokubambwa bana 	16	10572	Female	toi	220912-161719_toi_707_elicit_26.wav
sena tulangika mbuli zigwebenga wakabuzya aummi kumwi kalanga mubelesi 	16	7509	Female	toi	221228-184203_toi_b9a_elicit_22.wav
mwaalumi waku asia uusamide sikipa ilamfwu maanza yamubala wa cikambwe ulangilila muunda wamansaansa akanzila kajisi azilembedwe 	16	10821	Female	toi	221212-091650_toi_b9a_elicit_10.wav
mukaintu ulaa masusu mabotu uusamide ngowani sikipa isiya cibbudula camulotwe 	16	8462	Female	toi	221205-161938_toi_b9a_elicit_20.wav
mwaalumi usamide sikipa iituba akalukwe kamyeengwe usobanya cisbobanyo cabaimbi kakuli mwaalumi umwi uusamide cisani camubala wamungunga waji uleebelela 	16	11139	Female	toi	221212-122525_toi_b9a_elicit_17.wav
elyo josefa wakainka kuyoovwika wisi abalo balanda boonse ba farao bakainka awe 	16	7055	Female	toi	221230-144601_toi_b9a_elicit_11.wav
wakauonda mulimo wako kabotu kabotu kalombwana wakaamba haamwaandwe 	16	11253	Male	toi	220912-174208_toi_97d_elicit_37.wav
bantu botatwe balikkede atabule anze kumbele amayake apentedwe mbuli union jack 	16	8712	Female	toi	221205-203343_toi_b9a_elicit_5.wav
ulicizvi ncakwitila sena 	16	2450	Female	toi	221204-154324_toi_ee8_elicit_22.wav
ang ombe zyakwe amatanga aakwe ang ombe zyakwe zyoonse nzyaakavubide munyika ya kanana 	16	9596	Male	toi	221011-163041_toi_308_elicit_41.wav
mwaalumi uta samide sikipa utanta malundu amabwe 	16	4287	Female	toi	221213-112914_toi_b9a_elicit_13.wav
lino ciindi cakwe cakutumbuka necakasika mwakajanwa mayanga muzyalilo lyakwe 	16	10368	Male	toi	221011-174142_toi_308_elicit_28.wav
babelesya kaambyo aka mbaabaya bantu balimbwa mulandu 	16	3607	Male	toi	220825-174423_toi_0ae_elicit_11.wav
mwalumi utasamide cisani waima munsi a mwalumi usamide kabotu mu cisani a cibbudula uli akutondeka a mwalumi utasamide cisani 	16	10685	Female	toi	221210-182954_toi_b9a_elicit_11.wav
